Caroline Langsford, Sally Irvine
Ria Greeff, Heather Mackeown
Kerry Reid, I Cuypers
Billie Jean King, Roberta Smith
Bernice Carr, Helen Sheedy
Laura Rossouw, Helen Kayser
Lesley Hunt, Christine Bell
Helen Gourlay, A Barrow
Marianna Brummer, J Smith
Gillian Dove, Melanie Muller
Judy Tegart, Estelle Van Tonder
Rosie Casals, Agnes Botha
Alice Tym, Lynn Mcdonald
Judith Salome, M Kritzinger
Karen Krantzcke, Vicky Oosthuizen
Brenda Kirk, Hannelie Van Greunen
Frances Luff, A Slabbert
Lyn Montgomery, Glenda Tunmer
Ann Jones, Ann Madden
Margaret Court, Evelyne Terras
Helen Amos, Anita Summers
Annette Van Zyl, Franzie Alberts
Patricia Walkden, Wendy Tomlinson
Virginia Wade, Glenda Swan
Francoise Durr, Celeste Behrmann
Winnie Shaw, Wendy Gilchrist
Kerry Reid, Ria Greeff
Billie Jean King, Bernice Carr
Lesley Hunt, Laura Rossouw
Marianna Brummer, Helen Gourlay
Judy Tegart, Gillian Dove
Rosie Casals, Alice Tym
Karen Krantzcke, Judith Salome
Brenda Kirk, Frances Luff
Ann Jones, Lyn Montgomery
Margaret Court, Helen Amos
Annette Van Zyl, Patricia Walkden
Virginia Wade, Francoise Durr
Kerry Reid, Winnie Shaw
Billie Jean King, Lesley Hunt
Marianna Brummer, Judy Tegart
Rosie Casals, Karen Krantzcke
Ann Jones, Brenda Kirk
Margaret Court, Annette Van Zyl
Virginia Wade, Kerry Reid
Billie Jean King, Marianna Brummer
Rosie Casals, Ann Jones
Margaret Court, Virginia Wade
Billie Jean King, Rosie Casals
Margaret Court, Billie Jean King
Margaret Court, Helen Sheedy
Wendy Tomlinson, Susan Alexander
Karen Krantzcke, Sue Green
Patricia Walkden, Frances Luff
Kerry Reid, Lynn Mcdonald
Winnie Shaw, Anita Summers
Lesley Hunt, Helen Amos
Laura Rossouw, Daphne Pattison
Ann Jones, Joan Johnson
Brenda Kirk, Sandra Walsham
Sharon Van Brandis, Rosie Casals
Judy Tegart, G Lardner Burke
Helen Gourlay, J Swart
Marianna Brummer, Elviry Dry
Billie Jean King, Heloise Burger
Margaret Court, Wendy Tomlinson
Patricia Walkden, Karen Krantzcke
Winnie Shaw, Kerry Reid
Lesley Hunt, Laura Rossouw
Ann Jones, Brenda Kirk
Francoise Durr, Sharon Van Brandis
Judy Tegart, Helen Gourlay
Billie Jean King, Marianna Brummer
Margaret Court, Patricia Walkden
Winnie Shaw, Lesley Hunt
Ann Jones, Francoise Durr
Billie Jean King, Judy Tegart
Margaret Court, Winnie Shaw
Billie Jean King, Ann Jones
Billie Jean King, Margaret Court
Virginia Wade, Almut Sturm
Lesley Hunt, Brenda Kirk
Helga Masthoff, Irena Skulj
Annette Van Zyl, Helen Gourlay
Rosie Casals, Carolyn Camp
Gail Sherriff, Betty Stove
Judy Tegart, Daniele Bouteleux
Francoise Durr, Cecilia Martinez
Winnie Shaw, Laura Rossouw
Julie Heldman, Wendy Tomlinson
Lea Pericoli, Patti Hogan
Kerry Reid, Monica Giorgi
Karen Krantzcke, Suzana Gesteira
Patricia Walkden, Tory Ann Fretz
Katalin Borka, Carol Ann Kalogeropoulos
Billie Jean King, Erzsebet Polgar
Virginia Wade, Lesley Hunt
Helga Masthoff, Annette Van Zyl
Rosie Casals, Gail Sherriff
Francoise Durr, Judy Tegart
Julie Heldman, Winnie Shaw
Kerry Reid, Lea Pericoli
Karen Krantzcke, Patricia Walkden
Billie Jean King, Katalin Borka
Helga Masthoff, Virginia Wade
Francoise Durr, Rosie Casals
Kerry Reid, Julie Heldman
Billie Jean King, Karen Krantzcke
Helga Masthoff, Francoise Durr
Kerry Reid, Billie Jean King
Helga Masthoff, Kerry Reid
Julie Heldman, Maria Eugenia Guzman
Helen Gourlay, Suzana Gesteira
Francoise Durr, Helen Crooke
Maria Teresa Nasuelli, Cecilia Martinez
Kerry Reid, Pamela Austin
Patricia Walkden, Tory Ann Fretz
Rosie Casals, Tiiu Kivi
Lea Pericoli, Marie Pinterova
Olga Morozova, Lucia Bassi
Karen Krantzcke, Lesley Hunt
Gail Sherriff, Madeleine Pegel
Virginia Wade, Monica Giorgi
Helga Masthoff, Nell Truman
Judy Tegart, Miroslava Holubova
Christina Sandberg, Evelyne Terras
Billie Jean King, Graziella Perna
Julie Heldman, Helen Gourlay
Francoise Durr, Maria Teresa Nasuelli
Patricia Walkden, Kerry Reid
Rosie Casals, Lea Pericoli
Karen Krantzcke, Olga Morozova
Virginia Wade, Gail Sherriff
Helga Masthoff, Judy Tegart
Billie Jean King, Christina Sandberg
Julie Heldman, Francoise Durr
Patricia Walkden, Rosie Casals
Virginia Wade, Karen Krantzcke
Billie Jean King, Helga Masthoff
Julie Heldman, Patricia Walkden
Billie Jean King, Virginia Wade
Billie Jean King, Julie Heldman
Rosie Casals, Patricia Cody
Gail Sherriff, Patti Hogan
Evonne Goolagong, Jill Cooper
Nell Truman, Brenda Kirk
Joyce Williams, Lindsey Beaven
Shirley Bloomer, Wendy Overton
Janice Townsend, Corinne Molesworth
Kerry Reid, Patricia Edwards
Margaret Court, Fay Toyne
Helen Gourlay, Marilyn Aschner
Winnie Shaw, Robin Lloyd
Karen Krantzcke, Daphne Pattison
Julie Heldman, Elizabeth Ernest
