Caroline Langsford, Sally Irvine
Olga Morozova, Shirley Bloomer
Peggy Michel, Jill Cooper
Laura Rossouw, Sannie Gouws
Evonne Goolagong, Sharon Walsh Pete
Yevgenia Izopaitis, Veronica Burton
Patti Hogan, Carol Ann Kalogeropoulos
Daphne Pattison, Lindsey Beaven
Betty Ann Grubb, M C Muntola
Carole Graebner, Robin Lloyd
Patricia Walkden, Marie Pinterova
Annette Van Zyl, Nirupama Vasant
Corinne Molesworth, Valerie Ziegenfuss
Helen Gourlay, Marianna Brummer
Olga Morozova, Peggy Michel
Evonne Goolagong, Laura Rossouw
Patti Hogan, Yevgenia Izopaitis
Daphne Pattison, Betty Ann Grubb
Patricia Walkden, Carole Graebner
Corinne Molesworth, Annette Van Zyl
Olga Morozova, Helen Gourlay
Patti Hogan, Evonne Goolagong
Patricia Walkden, Daphne Pattison
Olga Morozova, Corinne Molesworth
Patti Hogan, Patricia Walkden
Patti Hogan, Olga Morozova
Esme Emmanuel, A Sinclair
Fiorella Bonicelli, Frances Luff
Alex Cowie, Lexie Kenny
Judy Congdon, S Eager
Helen Amos, Mary Mcanally
Judith Salome, Marilyn Bevan
Jane Ohara, Mrs C Steele
Helen Kayser, Madeleine Pegel
Evelyne Terras, Pamela Austin
Adrienne Avis, Stephanie Bardsley
Suzana Gesteira, Mandy Holdsworth
Cecilia Martinez, Penny Moor
Esme Emmanuel, Fiorella Bonicelli
Janice Tindle, Sally Holdsworth
Alex Cowie, Judy Congdon
Helen Amos, Ana Maria Arias
Judith Salome, Jane Ohara
Helen Kayser, Evelyne Terras
Suzana Gesteira, Adrienne Avis
Cecilia Martinez, Helen Sheedy
Esme Emmanuel, Janice Tindle
Alex Cowie, Helen Amos
Judith Salome, Helen Kayser
Suzana Gesteira, Cecilia Martinez
Esme Emmanuel, Alex Cowie
Judith Salome, Suzana Gesteira
Esme Emmanuel, Judith Salome
Linda Tuero, Ann Price
Susan Vinton, Kathy Kraft
Roberta Alison, Linda Wert
Lucia Gongora, Ann Templeton
Linda Tuero, Susan Vinton
Roberta Alison, Lucia Gongora
Linda Tuero, Roberta Alison
Lany Kaligis, Sandra Walsham
Patti Hogan, Sally Holdsworth
Eugenia Isopaitis, Chikako Murakami
Veronica Burton, Heide Orth
Laura Rossouw, Marilyn Greenwood
Lesley Hunt, Maria Teresa Nasuelli
Christiane Spinoza, Janice Townsend
Lita Liem, Lexie Kenny
Marilyn Pryde, Ana Maria Arias
Kathleen Harter, Jackie Fayter
Susan Alexander, Daphne Pattison
Evonne Goolagong, Wendy Hall
Judith Szorenyi, Patricia Edwards
Lindsey Beaven, Alex Cowie
Olga Morozova, Elizabeth Ernest
Lany Kaligis, Patti Hogan
Veronica Burton, Eugenia Isopaitis
Laura Rossouw, Lesley Hunt
Lita Liem, Christiane Spinoza
Kathleen Harter, Marilyn Pryde
Evonne Goolagong, Susan Alexander
Lindsey Beaven, Judith Szorenyi
Olga Morozova, Kimiyo Hatanaka
Veronica Burton, Lany Kaligis
Lita Liem, Laura Rossouw
Evonne Goolagong, Kathleen Harter
Olga Morozova, Lindsey Beaven
Lita Liem, Veronica Burton
Evonne Goolagong, Olga Morozova
Evonne Goolagong, Lita Liem
Amelie Hacks, Helga Masthoff
Marijke Jansen, H Avis
Frances Luff, Lisette Sliepen
Tine Zwaan, Helen Sheedy
Marijke Jansen, Frances Luff
Tine Zwaan, Birgitta Lindstrom
Marijke Jansen, Tine Zwaan
Alena Palmeova West, Miroslava Holubova
Vlasta Kodesova, Marie Pinterova
Vlasta Kodesova, Alena Palmeova West
Susan Vinton, Ann Price
Susan Eastman, Vicky Smouse
Linda Wert, Cecilia Rosado
Jean Weckwarth, Lucinda Crosby
Linda Tuero, Susan Vinton
Susan Eastman, Linda Wert
Jade Schiffman, Lucia Gongora
Becky Vest, Jean Weckwarth
Linda Tuero, Susan Eastman
Becky Vest, Jade Schiffman
Linda Tuero, Becky Vest
Erzsebet Polgar, Suzana Gesteira
Katalin Borka, Edith Winkens
Erzsebet Polgar, Katalin Borka
Joyce Williams, Cecilia Martinez
Winnie Shaw, Esme Emmanuel
Winnie Shaw, Joyce Williams
Helen Gourlay, Marilyn Greenwood
Sandra Walsham, Lexie Kenny
Maria Eugenia Guzman, Susan Alexander
Janice Townsend, Daphne Pattison
Helen Gourlay, Sandra Walsham
Maria Eugenia Guzman, Janice Townsend
Helen Gourlay, Maria Eugenia Guzman
Robyn Legge, Marilyn Bevan
Lindsey Beaven, Sue Imhoff
Sannie Gouws, Robyn Legge
Tish Adams, Jackie Fayter
Lindsey Beaven, Wendy Slaughter
Corinne Molesworth, Sannie Gouws
Alex Cowie, Tish Adams
Lindsey Beaven, Lindsay Blachford
Robin Lloyd, Penelope Hardgrave
Corinne Molesworth, Alex Cowie
Robin Lloyd, Lindsey Beaven
Corinne Molesworth, Robin Lloyd
Heidi Eisterlehner, Ingrid Menke
Ilse Buding, Marion Hofer
Fiorella Bonicelli, Renata Ostermann
Christiane Spinoza, Susanne Korpas
Gabriele Lutteken, Baerbel Wuestl
Helga Masthoff,  Erbe
Heidi Eisterlehner, Ilse Buding
Christiane Spinoza, Erzsebet Polgar
Betty Stove, Kora Schediwy
Heide Orth, Odile De Roubin
Helga Schultze, Gabriele Lutteken
Helga Masthoff, Heidi Eisterlehner
Fiorella Bonicelli, Christiane Spinoza
Betty Stove, Jana Kunstfeldova
Helga Schultze, Heide Orth
Helga Masthoff, Fiorella Bonicelli
Helga Schultze, Betty Stove
Helga Schultze, Helga Masthoff
Peaches Bartkowicz, Michelle Rodriguez
Gail Sherriff, Eva Lundquist
Francoise Durr, Madeleine Pegel
Kathleen Harter, Lany Kaligis
Peaches Bartkowicz, Lita Liem
Gail Sherriff, Christina Sandberg
Ingrid Bentzer, Francoise Durr
Kathleen Harter, Ana Maria Arias
Peaches Bartkowicz, Gail Sherriff
Ingrid Bentzer, Kathleen Harter
Peaches Bartkowicz, Ingrid Bentzer
Judith Dibar, Lutfiye Anbar
Kathy Roziano, Rozi Feldman
Maria Chakarova, Alenka Pipan
Yulia Berberian, Tania Kokeza
Judith Dibar, Maria Chakarova
Yulia Berberian, Kathy Roziano
Carol Ann Kalogeropoulos, Rozi Feldman
Dionissia Asteri, Lutfiye Anbar
Alenka Pipan, Dionissia Asteri
Carol Ann Kalogeropoulos, Tania Kokeza
Maria Chakarova,  Gotchen
Yulia Berberian, Rozi Feldman
Eleanora Dumitrescu, Carol Ann Kalogeropoulos
Judith Dibar, Dionissia Asteri
Alenka Pipan,  Gotchen
Zvezdana Urek, Rozi Feldman
Carol Ann Kalogeropoulos, Yulia Berberian
Maria Chakarova, Dionissia Asteri
Eleanora Dumitrescu, Tania Kokeza
Judith Dibar, Alenka Pipan
Marita Redondo, Ruan Smith
Chris Mattson, Cynthia Ann Thomas
Cathie Gagel, Sally Ride
Dodo Cheney, Georgia Turner
Marita Redondo, Chris Mattson
Cathie Gagel, Dodo Cheney
Marita Redondo, Cathie Gagel
Margaret Russo, Nancy Reed
Raymonde Veber, Sosie Hublitz
Laura Dupont, Margaret Russo
Carol Bentley, Raymonde Veber
Laura Dupont, Carol Bentley
Almut Sturm, Anne Marie Studer
Francoise Durr, Rita Felix
Helga Masthoff, Junko Sawamatsu
Esme Emmanuel, Almut Sturm
Cecilia Martinez, Ana Maria Arias
Betty Stove, Laura Rossouw
Kazuko Sawamatsu, Marianne Kindler
Rosie Casals, Michelle Rodriguez
Francoise Durr, Lea Pericoli
Helga Masthoff, Esme Emmanuel
Betty Stove, Cecilia Martinez
Rosie Casals, Kazuko Sawamatsu
Rosie Casals, Betty Stove
Francoise Durr, Helga Masthoff
Rosie Casals, Francoise Durr
Stephanie Defina, Zdenka Strnadova
Lenka Kodesova, Marie Pinterova
Miroslava Kozeluhova, Peggy Michel
Vlasta Kodesova, Wendy Overton
Katalin Borka, Miroslava Kozeluhova
Stephanie Defina, Lenka Kodesova
Valerie Ziegenfuss, Olga Lendlova
Vlasta Kodesova, Katalin Borka
Valerie Ziegenfuss, Stephanie Defina
Vlasta Kodesova, Valerie Ziegenfuss
Margaret Court, Alex Cowie
Lindsey Beaven, Marilyn Pryde
Nell Truman, Corinne Molesworth
Ann Jones, Lindsay Blachford
Margaret Court, Lindsey Beaven
Ann Jones, Nell Truman
Margaret Court, Ann Jones
Beatriz Araujo, Judy Congdon
Sandra Walsham, Jane Poynder
Maria Eugenia Guzman, Mary Mcanally
Janice Townsend, S Cogswell
Beatriz Araujo, Susan Alexander
Beatriz Araujo, Janice Townsend
Sandra Walsham, Maria Eugenia Guzman
Sandra Walsham, Beatriz Araujo
Olga Morozova, Zaiga Yansone
Monique Van Haver, Viviane Geerts
Micheline Five, Lisette Sliepen
Michele Gurdal, Monique Bedoret
Michele Kahn, Janine Michiels
Monique Van Haver, Micheline Five
Michele Kahn, Michele Gurdal
Monique Van Haver, Michele Kahn
Micheline Five, Michele Gurdal
Suzana Gesteira, Anne Marie Cassaigne
Odile De Roubin, Sylvie Rual
Nathalie Fuchs, Florence Guedy
Lesley Hunt, Marie Christine Brochard
Odile De Roubin, Suzana Gesteira
Lesley Hunt, Nathalie Fuchs
Lesley Hunt, Odile De Roubin
Margaret Court, Edina Magyarossy
 Vajda,  Menyhart
Miroslava Holubova,  Tomcsanyi
V Duday,  Rapcsak
Erzsebet Polgar,  Becsi
 Joszai,  Toth
Vlasta Kodesova, K Fagyas
Margaret Court, Zsuzsanna Graczol
Eva Szabo,  Vajda
Katalin Borka, Magdola Kisgyorgy
Miroslava Holubova, Erszebet Solyom
Judith Szorenyi, V Duday
Barbara Kral, Eva Fridenzi
Erzsebet Polgar,  Joszai
Vlasta Kodesova, Judit Monori
Margaret Court, Eva Szabo
Katalin Borka, Miroslava Holubova
Judith Szorenyi, Barbara Kral
Vlasta Kodesova, Erzsebet Polgar
Margaret Court, Katalin Borka
Vlasta Kodesova, Judith Szorenyi
Margaret Court, Vlasta Kodesova
Patti Hogan, Kerry Reid
Julie Heldman, Fay Toyne
Evonne Goolagong, Brenda Kirk
Judy Tegart, Patricia Edwards
Patti Hogan, Julie Heldman
Evonne Goolagong, Judy Tegart
Evonne Goolagong, Patti Hogan
Peggy Michel, Marilyn Pryde
Junko Sawamatsu, Irena Skulj
Valerie Ziegenfuss, Robyn Legge
Suzana Gesteira, Lexie Kenny
Peggy Michel, Junko Sawamatsu
Kazuko Sawamatsu, Valerie Ziegenfuss
Ana Maria Arias, Suzana Gesteira
Lesley Hunt, Maria Eugenia Guzman
Kazuko Sawamatsu, Peggy Michel
Lesley Hunt, Ana Maria Arias
Lesley Hunt, Kazuko Sawamatsu
Kimiyo Hatanaka, Ilse Buding
Jacqueline Rees Lewis, Michelle Rodriguez
Kristy Pigeon, Jacqueline Venturino
Fiorella Bonicelli, Carol Ann Kalogeropoulos
Kimiyo Hatanaka, Denise Carter
Odile De Roubin, Jacqueline Rees Lewis
Fiorella Bonicelli, Kristy Pigeon
Odile De Roubin, Kimiyo Hatanaka
Fiorella Bonicelli, Odile De Roubin
Olga Morozova, Olga Lendlova
Yulia Berberian, Judith Szorenyi
 Ciakirova, Danuta Wieczorek
Yevgenia Izopaitis, Eva Szabo
Marie Pinterova, Nadejda Teodorova
Olga Morozova, Yulia Berberian
Erzsebet Polgar,  Ciakirova
Katalin Borka, Barbara Kral
Yevgenia Izopaitis, Marie Pinterova
Olga Morozova, Erzsebet Polgar
Katalin Borka, Yevgenia Izopaitis
Olga Morozova, Katalin Borka
Yevgenia Izopaitis, Erzsebet Polgar
Kerry Reid, Nell Truman
Evonne Goolagong, Kora Schediwy
Heide Orth, Fay Toyne
Helga Schultze,  Schuebel
Karen Krantzcke, Amelie Hacks
Laura Rossouw, Katja Ebbinghaus
Brenda Kirk, Ann Phillips Moore
Helga Masthoff, Patricia Edwards
Evonne Goolagong, Kerry Reid
Helga Schultze, Heide Orth
Karen Krantzcke, Laura Rossouw
Helga Masthoff, Brenda Kirk
Evonne Goolagong, Helga Schultze
Karen Krantzcke, Helga Masthoff
Evonne Goolagong, Karen Krantzcke
Jackie Fayter, Elizabeth Ernest
Michelle Rodriguez, Ebba Leijonhufvud
Ana Maria Arias, Michelle Rodriguez
Fiorella Bonicelli, Mariana Ciogolea
Maria Teresa Nasuelli, Maria Eugenia Guzman
Lesley Hunt, Daniela Marzano
Fiorella Bonicelli, Ana Maria Arias
Lesley Hunt, Maria Teresa Nasuelli
Lesley Hunt, Fiorella Bonicelli
Pamela Austin, Simmy Stockman
Margaret Cooper, Lucinda Crosby
Sherry Bedingfield, Jennifer Louis
Pam Richmond, Gale Lipton
Patricia Montano, Vicky Smouse
Ann Lebedeff, Moto Sacomoto
Sylvia Hooks, Gail Hansen
Connie Capozzi, Jane Kincaid
Maricaye Christenson, Mary Summerhays
Marjorie Gengler, Susan Dalrymple
Patricia Bostrom, Mariann Greenberg
Mary Struthers, Margarie Allen
Wendy Appleby, Joan Keller
Laura Dupont, Alice Valentine
Linda Tuero, Pamela Austin
Sherry Bedingfield, Margaret Cooper
Pam Richmond, Patricia Montano
Ann Lebedeff, Sylvia Hooks
Connie Capozzi, Maricaye Christenson
Marjorie Gengler, Patricia Bostrom
Mary Struthers, Wendy Appleby
Laura Dupont, Jade Schiffman
Linda Tuero, Sherry Bedingfield
Pam Richmond, Ann Lebedeff
Linda Tuero, Pam Richmond
Laura Dupont, Marjorie Gengler
Linda Tuero, Laura Dupont
Florence Guedy, Michelle Rodriguez
Elena Subirats, Marion Proisy
Monique Van Haver, Michelle Rodriguez
Ana Maria Arias, Lisette Sliepen
Monique Van Haver, Ana Maria Arias
Yevgenia Izopaitis, Peggy Michel
 Zinina, Judith Dibar
Marina Kroschina, Valerie Ziegenfuss
Olga Morozova, T Taranova
Nina Tukhareli, O Vorsina
Rauza Islanova, Anna Yeremeyeva
Marie Pinterova,  Zinina
Yevgenia Izopaitis, A Kree
Tiiu Kivi, Uta Kogli
Olga Morozova, Nina Tukhareli
Rauza Islanova, Marie Pinterova
Yevgenia Izopaitis, Maria Kull
Tiiu Kivi, Marina Kroschina
Olga Morozova, Tiiu Kivi
Helga Masthoff,  Schwarz
Patricia Edwards, Susanne Korpas
Stephanie Defina,  Ziegler
 Kunstfeld,  Kaiser
Annette Van Zyl,  Kraus
Robyn Legge, Trude Schoenberger
Kora Schediwy,  Hornischer
Ria Hollingworth, Eleanora Dumitrescu
Helga Masthoff, Patricia Edwards
Annette Van Zyl,  Kunstfeld
Kora Schediwy, Daphne Pattison
Evonne Goolagong, Ria Hollingworth
Helga Masthoff, Laura Rossouw
Evonne Goolagong, Kora Schediwy
Helga Masthoff, Annette Van Zyl
Evonne Goolagong, Winnie Shaw
Helga Masthoff, Evonne Goolagong
Evonne Goolagong, Sonja Pachta
Gaby Tremus, Dagmar Stoltenberg
Heidi Eisterlehner, Dagmar Portscheller
 Pfeiffer,  Herfs
Heidi Reetmeyer, Baerbel Wuestl
Heide Orth,  Mueller
Edith Winkens, Birgit Wegemann
Kora Schediwy, Gaby Tremus
Katja Ebbinghaus, Heidi Eisterlehner
Almut Sturm,  Pfeiffer
Heide Orth, Heidi Reetmeyer
Gabriele Lutteken, Ingrid Menke
Helga Schultze,  Schuh
Helga Masthoff, Edith Winkens
Katja Ebbinghaus, Kora Schediwy
Heide Orth, Almut Sturm
Helga Schultze, Gabriele Lutteken
Helga Masthoff, Katja Ebbinghaus
Helga Schultze, Heide Orth
Helga Schultze, Helga Masthoff
Janet Newberry, Sylvia Hooks
Marjorie Gengler, Lucinda Crosby
Linda Lewis, Kristien Shaw
Jane Kincaid, Mary Struthers
Eliza Pande, Ann Lebedeff
Connie Capozzi, Patricia Bostrom
Laurie Tenney, Peggy Moore
Susan Vinton, Pam Farmer
Janice Metcalf, Pamela Austin
Laura Dupont, Vicky Smouse
Nancy Ornstein, Charlotte Atwater
Gail Hansen, Sherry Bedingfield
Sue Stap, Wendy Appleby
Patricia Reese, Tracy Macnair
Tam Oshaughnessy, Maricaye Christenson
Sharon Walsh Pete, Alice Valentine
Janet Newberry, Marjorie Gengler
Jane Kincaid, Linda Lewis
Eliza Pande, Connie Capozzi
Laurie Tenney, Susan Vinton
Janice Metcalf, Laura Dupont
Gail Hansen, Nancy Ornstein
Patricia Reese, Sue Stap
Sharon Walsh Pete, Tam Oshaughnessy
Janet Newberry, Jane Kincaid
Eliza Pande, Laurie Tenney
Janice Metcalf, Gail Hansen
Sharon Walsh Pete, Patricia Reese
Eliza Pande, Janet Newberry
Sharon Walsh Pete, Janice Metcalf
Eliza Pande, Sharon Walsh Pete
Vlasta Kodesova, Renata Tomanova
Miroslava Holubova, Olga Lendlova
Miroslava Holubova, Vlasta Kodesova
Christina Sandberg, Eva Lundquist
Ingrid Bentzer, Margareta Strandberg
Christina Sandberg, Ingrid Bentzer
Odile De Roubin, Judith Dibar
Jill Cooper, Marilyn Pryde
Fay Toyne, Robyn Legge
Ann Jones, Jill Cooper
Winnie Shaw, Fay Toyne
Ann Jones, Winnie Shaw
Laura Rossouw, Maria Jose Aubet
Maria Teresa Nasuelli, Carol Ann Kalogeropoulos
Fiorella Bonicelli, Ilse Buding
Monica Giorgi, Dionissia Asteri
Laura Rossouw, Maria Teresa Nasuelli
Fiorella Bonicelli, Monica Giorgi
Fiorella Bonicelli, Laura Rossouw
Fay Toyne, Ana Maria Arias
Jill Cooper, Alena Palmeova West
Ann Jones, Fay Toyne
Winnie Shaw, Jill Cooper
Winnie Shaw, Ann Jones
Elena Subirats, Irena Skulj
Mona Guerrant, Amelie Hacks
Tine Zwaan, Katalin Borka
Karin Seltenreich, Marjorie Love
Odile De Roubin, Junko Sawamatsu
Agnes Graczol, Olga Montano
Pixie Lamm, Marie Pinterova
Tiiu Kivi, Maria Teresa Nasuelli
Janet Young, Lindsey Beaven
Elena Subirats, Mona Guerrant
Odile De Roubin, Tine Zwaan
Ada Bakker, Karin Seltenreich
Pixie Lamm, Agnes Graczol
Monica Giorgi, Yevgenia Izopaitis
Tiiu Kivi, Janet Young
Odile De Roubin, Elena Subirats
Ada Bakker, Pixie Lamm
Kazuko Sawamatsu, Monica Giorgi
Tiiu Kivi, Odile De Roubin
Kazuko Sawamatsu, Ada Bakker
Tiiu Kivi, Kazuko Sawamatsu
Suzana Gesteira, Sandra Walsham
Helen Gourlay, Linda Wert
Bunny Smith, Marcia Weinacker
Toni Novack, Charlene Grafton
Stephanie Defina, Dale Mccloskey
Lesley Hunt, Ann Mccloskey
Helen Gourlay, Bunny Smith
Stephanie Defina, Toni Novack
Patricia Walkden, Ann Dunbar
Lesley Hunt, Helen Gourlay
Patricia Walkden, Stephanie Defina
Lesley Hunt, Patricia Walkden
Mary Ann Eisel, Susan Moseley
Esme Emmanuel, Kristien Shaw
Valerie Ziegenfuss, Carlene Peterson
Cecilia Martinez, Carrie Fotopoulos
Sally Holdsworth, Molly Hannas
Mary Ann Eisel, Esme Emmanuel
Corinne Molesworth, Christiane Spinoza
Valerie Ziegenfuss, Cecilia Martinez
Sally Holdsworth, Betty Ann Grubb
Corinne Molesworth, Mary Ann Eisel
Valerie Ziegenfuss, Sally Holdsworth
Valerie Ziegenfuss, Corinne Molesworth
Miroslava Kozeluhova, Susan Alexander
Renata Tomanova, Sandra Walsham
Renata Tomanova, Irena Skulj
Anne Marie Studer, Miroslava Kozeluhova
Kora Schediwy, Renata Tomanova
Marianne Kindler, Barbara Walsh
Olga Lendlova, Anne Marie Studer
Kora Schediwy, Marianne Kindler
Kora Schediwy, Olga Lendlova
Ana Maria Arias, Sylvie Rual
Odile De Roubin, Michelle Rodriguez
Daniele Bouteleux, Pixie Lamm
Anne Marie Cassaigne, Rosie Reyes
Odile De Roubin, Ana Maria Arias
Daniele Bouteleux, Anne Marie Cassaigne
Odile De Roubin, Daniele Bouteleux
Fiorella Bonicelli, Judith Salome
Marianne Kindler, Ria Leyrer
Rita Felix, Susan Alexander
Sandra Walsham, Marianne Kindler
Barbara Walsh,  Oswald
Anne Marie Studer, Renata Tomanova
Sonja Pachta, Sandra Walsham
Olga Lendlova, Barbara Walsh
Anne Marie Studer, Irena Skulj
Kora Schediwy, Rita Felix
Sonja Pachta, Olga Lendlova
Kora Schediwy, Anne Marie Studer
Sonja Pachta, Kora Schediwy
Judith Dibar, Eleanora Dumitrescu
Agneta Kun, Valeria Balaj
Agneta Kun, Judith Dibar
Judith Dibar, Susan Alexander
Eva Szabo, Veronika Koch
Judith Dibar, Eva Szabo
Evonne Goolagong, Sue Hole
Anne Coleman, L Smith
Evonne Goolagong, Anne Coleman
Maria Teresa Nasuelli,  Albini
Daniela Marzano, Lucia Bassi
Monica Giorgi, Graziella Perna
Lea Pericoli, Maria Monami
Maria Teresa Nasuelli, Daniela Marzano
Lea Pericoli, Monica Giorgi
Lea Pericoli, Maria Teresa Nasuelli
Aleksandra Ivanova, Marina Kroschina
Lilia Karpova, Rauza Islanova
Maria Kull,  Papayan
Yevgenia Izopaitis, N Lileyeva
Zaiga Yansone, Nina Tukhareli
Tiiu Kivi, Valentina Petrova
Olga Morozova, Aleksandra Ivanova
Anna Yeremeyeva, Lilia Karpova
Yevgenia Izopaitis, Maria Kull
Zaiga Yansone, Tiiu Kivi
Olga Morozova, Anna Yeremeyeva
Zaiga Yansone, Yevgenia Izopaitis
Anna Yeremeyeva, Yevgenia Izopaitis
Olga Morozova, Zaiga Yansone
Evelyne Terras, Michele Mizen
Daniele Bouteleux, Claudine Rouire
Anne Marie Cassaigne, Janine Lieffrig
Gail Sherriff, Evelyne Terras
Odile De Roubin, Daniele Bouteleux
Rosie Reyes, Anne Marie Cassaigne
Francoise Durr, Nathalie Fuchs
Gail Sherriff, Odile De Roubin
Francoise Durr, Rosie Reyes
Gail Sherriff, Francoise Durr
Carmen Coronado, Ana Maria Estalella Manso
Lorraine Coghlan, Kerry Wilkinson
Helga Schultze, Susan Alexander
Evonne Goolagong, Patricia Coleman
Maria Eugenia Guzman, Suzana Gesteira
V Ciugli, Ana Maria Ycasa
Maria Eugenia Guzman, V Ciugli
Leyla Musalem, Ada Cowan
Carmen Ibarra, Fiorella Bonicelli
Isabel Fernandez De Soto, Mary Puljak
Maria Victoria De Moggio, Doris Silva
Leyla Musalem, Ana Maria Ycasa
Carmen Ibarra, Maria Eugenia Guzman
Isabel Fernandez De Soto, Ana Maria Arias
Beatriz Araujo, Maria Victoria De Moggio
Isabel Fernandez De Soto, Beatriz Araujo
Ana Maria Arias, Maria Victoria De Moggio
Isabel Fernandez De Soto, Leyla Musalem
Carmen Ibarra, Isabella Ortiz
Carmen Ibarra, Isabel Fernandez De Soto
Leyla Musalem, Isabella Ortiz
Junko Sawamatsu, Kathleen Harter
Eva Lundquist, Kimiyo Hatanaka
Eva Lundquist, Chikako Murakami
Kazuko Sawamatsu, Kathleen Harter
Sandra Walsham, Ana Maria Estalella Manso
Michelle Rodriguez, Susan Alexander
Sandra Walsham, Michelle Rodriguez
Evonne Goolagong, Patricia Reese
Beverley Vercoe, Christine Fletcher
Beverly Ward, Joan Buckpitt
Jill Fraser, Yvonne Harrison
Barbara Simpson, Patricia Hern
Beverley Vercoe, Barbara Simpson
Jill Fraser, Beverly Ward
Beverley Vercoe, Jill Fraser
Marita Redondo, Vicky Smouse
Vicki Jensen, Pam Farmer
Laurie Tenney, Leanne Strode
Mary Struthers, Cindy Ursich
Marita Redondo, Vicki Jensen
Laurie Tenney, Mary Struthers
Marita Redondo, Laurie Tenney
Judy Alvarez, Bunny Smith
Chris Evert, Toni Novack
Chris Evert, Judy Alvarez
Ana Maria Arias, Ana Maria Piotti
Carmen Coronado, Maria Cristina Fernandez
Raquel Giscafre, Ana Cavadini
Ines Roget, Michelle Rodriguez
Ana Maria Arias, Carmen Coronado
Raquel Giscafre, Marta Fernandez Ruiz
Ines Roget, Alice Tym
Beatriz Araujo, Graciela Moran
Raquel Giscafre, Ana Maria Arias
Beatriz Araujo, Ines Roget
Beatriz Araujo, Raquel Giscafre
Kathleen Harter, Yaeko Matsuda
Kimiyo Hatanaka, Jeong Soon Yang
Eva Lundquist,  Enouchi
Kazuko Sawamatsu, Kazuko Kuromatsu
Kathleen Harter, Kimiyo Hatanaka
Kazuko Sawamatsu, Eva Lundquist
Kazuko Sawamatsu, Kathleen Harter
Patricia Coleman, Patricia Reese
Evonne Goolagong, Anne Coleman
Patricia Coleman, Brenda Dale
Kristien Shaw, Wendy Turnbull
Marilyn Tesch, Nancy Ornstein
Evonne Goolagong, Patricia Coleman
Marilyn Tesch, Kristien Shaw
Evonne Goolagong, Marilyn Tesch
Vicky Berner, Stephanie Tolleson
Susan Vinton, Joanne Russell
Marita Redondo, Terry Holladay
Vicki Jensen, Terri Thomas
Chris Mattson, Sue Boyle
Janet Newberry, Susan Hagey
Marita Redondo, Vicki Jensen
Janet Newberry, Chris Mattson
Janet Newberry, Marita Redondo
Brenda Kirk, Ilana Kloss
Evonne Goolagong, Anne Coleman
Janet Fallis, Wendy Turnbull
Janine Lieffrig, Nathalie Fuchs
Daniele Bouteleux, Jacqueline Berson
Janine Lieffrig, Daniele Bouteleux
Winnie Shaw, Marjorie Love
Lindsey Beaven, Marilyn Greenwood
Winnie Shaw, Lindsey Beaven
K Truter, Jenny Helliar
Cecilia Martinez, Elizabeth Vlotman
K Truter, S Mclachlan
Tory Ann Fretz, Ilana Kloss
Helen Amos, Glenda Swan
Cecilia Martinez, K Truter
Tory Ann Fretz, Helen Amos
Cecilia Martinez, Tory Ann Fretz
Olga Morozova, Junko Sawamatsu
Patricia Reese, Anne Coleman
Kerry Harris, Jane Ohara
Kristien Shaw, Andree Martin
Kimiyo Hatanaka, Barbara Murphy
Patti Hogan, Vicki Lancaster Kerr
Olga Morozova, Patricia Reese
Kristien Shaw, Kimiyo Hatanaka
Kazuko Sawamatsu, Patti Hogan
Olga Morozova, Kerry Harris
Kristien Shaw, Kazuko Sawamatsu
Olga Morozova, Kristien Shaw
