Jan Kodes, Victor Pecci
Peter Elter, Tom Okker
Wojtek Fibak, Rick Fagel
Manuel Orantes, Werner Zirngibl
Jiri Hrebec, Ivan Molina
Andres Gomez, Jan Kodes
Wojtek Fibak, Peter Elter
Manuel Orantes, Jiri Hrebec
Wojtek Fibak, Andres Gomez
Manuel Orantes, Wojtek Fibak
Jose Higueras, Stefan Svensson
Ivan Molina, Roberto Meneschincheri
Alejandro Cortes, Bernard Fritz
Christophe Freyss, Rick Fagel
Pascal Portes, Francisco Rodriguez
Christophe Roger Vasselin, Carlos Behar
Keith Richardson, Christophe Casa
Jose Andrade, Alvaro Margets
Roberto Vizcaino, Angel Gimenez
Gabriel Urpi, Ulf Eriksson
Eddie Edwards, Gaston Escofet
Javier Soler, Cassio Motta
Carlos Kirmayr, Robin Drysdale
Onny Parun, Ernie Ewert
Per Hjertquist, Birger Andersson
Yannick Noah, Jorge Andrew
Peter Mcnamara, Antonio Munoz
George Amaya, Ernesto Vazquez Barreira
Alejandro Pierola, Jan Gunnarsson
Jean Francois Caujolle, Ramiro Benavides
Patrick Proisy, Gregoire Rafaitin
Louk Sanders, John Yuill
Jairo Velasco, Miguel Mir
Manuel Orantes, Roger Guedes
Terry Moor, Andreas Maurer
Jose Lopez Maeso, Jose Castanon
Georges Goven, Alfonso Gonzalez
Paul Mcnamee, Fernando Luna
Zeljko Franulovic, Max Hurlimann
Peter Elter, John Feaver
Jaime Fillol, Ismail El Shafei
Jose Luis Clerc, Gonzalo Nunez
Jose Higueras, Ivan Molina
Christophe Freyss, Alejandro Cortes
Pascal Portes, Christophe Roger Vasselin
Keith Richardson, Jose Andrade
Gabriel Urpi, Roberto Vizcaino
Eddie Edwards, Javier Soler
Carlos Kirmayr, Onny Parun
Yannick Noah, Per Hjertquist
Peter Mcnamara, George Amaya
Alejandro Pierola, Jean Francois Caujolle
Patrick Proisy, Louk Sanders
Manuel Orantes, Jairo Velasco
Terry Moor, Jose Lopez Maeso
Paul Mcnamee, Georges Goven
Zeljko Franulovic, Peter Elter
Jose Luis Clerc, Jaime Fillol
Jose Higueras, Christophe Freyss
Keith Richardson, Pascal Portes
Gabriel Urpi, Eddie Edwards
Yannick Noah, Carlos Kirmayr
Peter Mcnamara, Alejandro Pierola
Manuel Orantes, Patrick Proisy
Paul Mcnamee, Terry Moor
Jose Luis Clerc, Zeljko Franulovic
Jose Higueras, Keith Richardson
Yannick Noah, Gabriel Urpi
Manuel Orantes, Peter Mcnamara
Jose Luis Clerc, Paul Mcnamee
Yannick Noah, Jose Higueras
Manuel Orantes, Jose Luis Clerc
Yannick Noah, Manuel Orantes
Arthur Ashe, Javier Soler
Antonio Zugarelli, Ivan Lendl
Jean Francois Caujolle, Eric Friedler
David Carter, Kim Warwick
Van Winitsky, Adriano Panatta
Karl Meiler, Fabrizio Fanucci
Pavel Slozil, Gregoire Rafaitin
Ulf Eriksson, Carlos Kirmayr
Paolo Bertolucci, Patrice Dominguez
Pascal Portes, Erik Van Dillen
Belus Prajoux, Hans Kary
Buster C Mottram, Fernando Dalla Fontana
Yannick Noah, Francois Jauffret
Antonio Munoz, Birger Andersson
Eric Deblicker, Patrizio Parrini
Raul Ramirez, Carlos Gomez
Arthur Ashe, Antonio Zugarelli
Jean Francois Caujolle, David Carter
Karl Meiler, Van Winitsky
Pavel Slozil, Ulf Eriksson
Pascal Portes, Paolo Bertolucci
Buster C Mottram, Belus Prajoux
Yannick Noah, Antonio Munoz
Raul Ramirez, Eric Deblicker
Jean Francois Caujolle, Arthur Ashe
Karl Meiler, Pavel Slozil
Pascal Portes, Buster C Mottram
Raul Ramirez, Yannick Noah
Karl Meiler, Jean Francois Caujolle
Raul Ramirez, Pascal Portes
Raul Ramirez, Karl Meiler
Tim Wilkison, Hank Pfister
Roger Taylor, Van Winitsky
Ferdi Taygan, Mark Cox
David Schneider, Robin Drysdale
Nick Saviano, Tom Gorman
Marty Riessen, Jaime Fillol
Terry Moor, Raymond Moore
Bernard Mitton, Bill Scanlon
Bruce Manson, John Feaver
Robert Lutz, Joao Soares
Richard Lewis, Rick Fisher
Paul Kronk, John Sadri
John James, Matt Doyle
Brad Drewett, John Marks
Phil Dent, Mike Cahill
Ross Case, Ricardo Ycaza
Victor Amaya, Pat Dupre
Stan Smith, Colin Dibley
Victor Pecci, John Lloyd
Vijay Amritraj, Alvin Gardiner
Geoff Masters, Johan Kriek
Dick Stockton, Andrew Pattison
Sandy Mayer, Randy Crawford
Brian Teacher, Peter Fleming
John Austin, Tim Gullikson
John Alexander, Francisco Gonzalez
Jose Luis Clerc, Sherwood Stewart
Brian Gottfried, Mark Edmondson
Arthur Ashe, Chris Kachel
Roscoe Tanner, Dale Collings
Tom Gullikson, Vitas Gerulaitis
John McEnroe, Charlie Pasarell
Tim Wilkison, Roger Taylor
Brian Teacher, Bruce Manson
Nick Saviano, John Austin
Bernard Mitton, Geoff Masters
Richard Lewis, Tom Gullikson
Marty Riessen, Stan Smith
Victor Pecci, David Schneider
Vijay Amritraj, Brad Drewett
Dick Stockton, Victor Amaya
Sandy Mayer, Terry Moor
Robert Lutz, John Alexander
Ferdi Taygan, Jose Luis Clerc
Brian Gottfried, Ross Case
Arthur Ashe, Paul Kronk
Roscoe Tanner, Phil Dent
John McEnroe, John James
Nick Saviano, Ferdi Taygan
Robert Lutz, Brian Teacher
Victor Pecci, Tim Wilkison
Dick Stockton, Richard Lewis
Sandy Mayer, Brian Gottfried
Arthur Ashe, Bernard Mitton
Roscoe Tanner, Marty Riessen
John McEnroe, Vijay Amritraj
Victor Pecci, Robert Lutz
Arthur Ashe, Dick Stockton
Roscoe Tanner, Nick Saviano
John McEnroe, Sandy Mayer
Victor Pecci, Arthur Ashe
John McEnroe, Roscoe Tanner
John McEnroe, Victor Pecci
John McEnroe, Jorge Andrew
Christophe Roger Vasselin, Gilles Moretton
Stanislav Birner, Onny Parun
Jean Francois Caujolle, Jan Norback
Butch Walts, Miguel Mir
Richard Lewis, Jiri Prucha
Bernard Fritz, Gianni Marchetti
Pavel Slozil, Antonio Zugarelli
Mark Cox, Vittorio Magnelli
Zeljko Franulovic, Paolo Bertolucci
Richard Meyer, Jiri Hrebec
Corrado Barazzutti, Robin Drysdale
Gianni Ocleppo, Hans Kary
Ferdi Taygan, Enzo Vattuone
Massimo Rivaroli, Gianluca Rinaldini
Fritz Buehning, Peter Fleming
John McEnroe, Christophe Roger Vasselin
Stanislav Birner, Jean Francois Caujolle
Butch Walts, Richard Lewis
Bernard Fritz, Pavel Slozil
Mark Cox, Zeljko Franulovic
Corrado Barazzutti, Richard Meyer
Gianni Ocleppo, Ferdi Taygan
Fritz Buehning, Massimo Rivaroli
John McEnroe, Stanislav Birner
Butch Walts, Bernard Fritz
Mark Cox, Corrado Barazzutti
Gianni Ocleppo, Fritz Buehning
Butch Walts, John McEnroe
Gianni Ocleppo, Mark Cox
Butch Walts, Gianni Ocleppo
Pascal Portes, Guillermo Vilas
Peter Elter, Bob Hewitt
Jairo Velasco, Roland Stadler
Ismail El Shafei, Chris Lewis
Ulrich Pinner, Ricardo Ycaza
Zeljko Franulovic, Andrew Jarrett
Jeff Borowiak, Erick Iskersky
Heinz Gunthardt, Jose Luis Damiani
Peter Mcnamara, Louk Sanders
John Marks, Ferdi Taygan
Hans Kary, Werner Zirngibl
Tom Okker, Rick Fagel
Patrick Proisy, Peter Feigl
Jean Louis Haillet, Ricardo Cano
Mark Edmondson, David Carter
Jose Luis Clerc, Jean Francois Caujolle
Pascal Portes, Peter Elter
Ismail El Shafei, Jairo Velasco
Ulrich Pinner, Zeljko Franulovic
Heinz Gunthardt, Jeff Borowiak
Peter Mcnamara, John Marks
Tom Okker, Hans Kary
Patrick Proisy, Jean Louis Haillet
Jose Luis Clerc, Mark Edmondson
Ismail El Shafei, Pascal Portes
Ulrich Pinner, Heinz Gunthardt
Peter Mcnamara, Tom Okker
Jose Luis Clerc, Patrick Proisy
Ulrich Pinner, Ismail El Shafei
Peter Mcnamara, Jose Luis Clerc
Ulrich Pinner, Peter Mcnamara
David Schneider, Deon Joubert
Bill Maze, Randy Crawford
Jay Lapidus, John James
Chris Kachel, Alvin Gardiner
Tom Gullikson, Charlie Pasarell
Brad Drewett, Ramesh Krishnan
Colin Dibley, Tim Garcia
Kevin Curren, Francisco Gonzalez
Tim Wilkison, Nick Saviano
Geoff Masters, Bruce Nichols
Hank Pfister, Richard Meyer
Brian Teacher, Tom Gorman
Robert Lutz, Bob Giltinan
Stan Smith, Haroon Ismail
Kim Warwick, Victor Amaya
Tim Gullikson, John Austin
Chris Kachel, Kim Warwick
Tim Wilkison, Jay Lapidus
Geoff Masters, Tom Gullikson
Hank Pfister, David Schneider
Brian Teacher, Kevin Curren
Robert Lutz, Brad Drewett
Stan Smith, Bill Maze
Tim Gullikson, Colin Dibley
Brian Teacher, Chris Kachel
Tim Wilkison, Robert Lutz
Stan Smith, Geoff Masters
Hank Pfister, Tim Gullikson
Brian Teacher, Tim Wilkison
Stan Smith, Hank Pfister
Brian Teacher, Stan Smith
Bjorn Borg, Christophe Freyss
Antonio Zugarelli, Ove Nils Bengtson
Hans Kary, Goran Bergstrand
Billy Martin, Stefan Svensson
Heinz Gunthardt, Stefan Simonsson
Jan Gunnarsson, Javier Soler
Nicola Spear, Antonio Munoz
Kjell Johansson, Christophe Roger Vasselin
Patrick Proisy, Carl Axel Hageskog
Georges Goven, Jorge Andrew
Andrew Jarrett, Karl Meiler
Mark Edmondson, Ismail El Shafei
Per Hjertquist, John Marks
David Carter, Angel Gimenez
Bob Carmichael, Jan Norback
Balazs Taroczy, Tenny Svensson
Bjorn Borg, Antonio Zugarelli
Billy Martin, Hans Kary
Heinz Gunthardt, Jan Gunnarsson
Kjell Johansson, Nicola Spear
Patrick Proisy, Georges Goven
Mark Edmondson, Andrew Jarrett
Per Hjertquist, David Carter
Balazs Taroczy, Bob Carmichael
Bjorn Borg, Billy Martin
Kjell Johansson, Heinz Gunthardt
Patrick Proisy, Mark Edmondson
Balazs Taroczy, Per Hjertquist
Bjorn Borg, Kjell Johansson
Balazs Taroczy, Patrick Proisy
Bjorn Borg, Balazs Taroczy
Ulrich Pinner, Richard Lewis
David Carter, Georges Goven
Kjell Johansson, Peter Elter
