Guillermo Coria, Feliciano Lopez
Andrei Pavel, Felix Mantilla
Nicolas Massu, Albert Costa
Rainer Schuettler, James Blake
Tim Henman, Sebastien Grosjean
Gustavo Kuerten, Mark Philippoussis
Martin Verkerk, Dominik Hrbaty
Roger Federer, Thierry Ascione
Jonas Bjorkman, Nicolas Lapentti
Gregory Carraz, Sjeng Schalken
Tommy Robredo, Gaston Gaudio
Andy Roddick, Victor Hanescu
Jiri Novak, Juan Carlos Ferrero
Hicham Arazi, Paradorn Srichaphan
Andrei Pavel, Guillermo Coria
Rainer Schuettler, Nicolas Massu
Tim Henman, Gustavo Kuerten
Roger Federer, Martin Verkerk
Jonas Bjorkman, Gregory Carraz
Andy Roddick, Tommy Robredo
Jiri Novak, Hicham Arazi
Andrei Pavel, Rainer Schuettler
Tim Henman, Roger Federer
Andy Roddick, Jonas Bjorkman
Andrei Pavel, Jiri Novak
Tim Henman, Andy Roddick
Tim Henman, Andrei Pavel
Younes El Aynaoui, Albert Montanes
Magnus Norman, Jiri Vanek
Zeljko Krajan, Albert Portas
Nicolas Massu, Fernando Vicente
Fernando Meligeni, Arnaud Clement
Hicham Arazi, Mehdi Tahiri
Olivier Mutis, Dennis Van Scheppingen
Eric Prodon, Ruben Ramirez Hidalgo
Federico Browne, Olivier Rochus
Franco Squillari, Talal Ouahabi
Attila Savolt, Oscar Hernandez
Dominik Hrbaty, Mounir El Aarej
Luis Horna, Andre Sa
Julien Boutter, Davide Sanguinetti
Flavio Saretta, Antony Dupuis
Jean Rene Lisnard, Paul Henri Mathieu
Younes El Aynaoui, Magnus Norman
Nicolas Massu, Zeljko Krajan
