Harald Elschenbroich, Colin Stubs
Ezio Di Matteo, Alexander Marcial
Bob Carmichael, Jairo Velasco
Jose Luis Arillla, Enrique Guerrero
Ingo Buding, Jose Guerrero
Thomaz Koch, Luis Bruguera
Ken Fletcher, Eugenio Castigliano
Ray Ruffels, Eddie Cruz
Ramanathan Krishnan, Adriano Panatta
Martin Mulligan, Francisco Tormo
Antonio Munoz, Michael Hickey
Jose Luis Arillla, Jaidip Mukerjea
Ingo Buding, Jose Edison Mandarino
Harald Elschenbroich, Thomaz Koch
Francois Jauffret, Ken Fletcher
Bob Carmichael, Ray Ruffels
Ramanathan Krishnan, Ezio Di Matteo
Martin Mulligan, Patricio Rodriguez Chi
Francois Jauffret, Bob Carmichael
Harald Elschenbroich, Antonio Munoz
Ingo Buding, Ramanathan Krishnan
Martin Mulligan, Jose Luis Arillla
Ingo Buding, Harald Elschenbroich
Martin Mulligan, Francois Jauffret
Martin Mulligan, Ingo Buding
Ken Rosewall, Tom Edlefsen
Ken Rosewall, Colin Stubs
Ken Rosewall, Jose Edison Mandarino
Ken Rosewall, Herb Fitzgibbon
Ken Rosewall, Thomaz Koch
Ken Rosewall, Andres Gimeno
Ken Rosewall, Rod Laver
Colin Stubs, Jean Claude Barclay
Jaime Pinto Bravo, Barry Geraghty
Jose Edison Mandarino, Jaime Pinto Bravo
Jose Edison Mandarino, Jean Baptiste Chanfreau
Fernando Gentil, Jan Kodes
Paul Hutchins, Fernando Gentil
Paul Hutchins, Tadeusz Nowicki
Herb Fitzgibbon, Paul Hutchins
Herb Fitzgibbon, Sergio Tacchini
Herb Fitzgibbon, Patrick Proisy
Patrick Proisy, Ramanathan Krishnan
Wieslaw Gasiorek, Lew Hoad
Wieslaw Gasiorek, Michele Leclercq
Francois Jauffret, Wieslaw Gasiorek
Michele Leclercq, Rohan Summers
Francois Jauffret, John Barrett
Francois Jauffret, Jan Kukal
Thomaz Koch, Francois Jauffret
Jan Kukal, Pancho Guzman
Tom Christensen, Wilhelm Bungert
Terry Ryan, Tom Christensen
Terry Ryan, Alexander Marcial
Thomaz Koch, Terry Ryan
Gerard Pilet, Jaidip Mukerjea
Thomaz Koch, Gerard Pilet
Thomaz Koch, Zlatko Ivancic
Andres Gimeno, Eddie Cruz
Andres Gimeno, Sever Dron
Andres Gimeno, Ingo Buding
Andres Gimeno, Ray Ruffels
Andres Gimeno, Boro Jovanovic
Sever Dron, Pierre Jauffret
Ingo Buding, Pierre Joly
Ingo Buding, Petr Strobl
Petr Strobl, Ivan Molina
Ray Ruffels, V Kazarevitch
Ray Ruffels, Frew Mcmillan
Ray Ruffels, Patricio Cornejo
Frew Mcmillan, Ference Komaromi
Nicola Spear, Daniel Contet
Patricio Cornejo, Nicola Spear
Patricio Cornejo, Detler Herdy
Fred Stolle, Christian Duxin
Boro Jovanovic, Fred Stolle
Boro Jovanovic, David Lloyd
Boro Jovanovic, Dick Crealy
Boro Jovanovic, Gerald Battrick
Ilie Nastase, Jean Pierre Olivier
Dick Crealy, Ilie Nastase
Dick Crealy, Michael Sangster
Gerald Battrick, Nicola Pietrangeli
Gerald Battrick, Jean Pierre Courcol
Gerald Battrick, Dimitri Sturdza
Jean Pierre Courcol, Eduardo Gorostiaga
Dimitri Sturdza, Eric Drossart
Dimitri Sturdza, Bernard Montrenaud
Bernard Montrenaud, Carlos Fernandes
Eduardo Zuleta, Richard Hawkes
Mark Cox, Eduardo Zuleta
Mark Cox, Bernard Paul
Istvan Gulyas, Mark Cox
Torben Ulrich, Marco Gilardelli
Istvan Gulyas, Torben Ulrich
Istvan Gulyas, Frank Tutvin
Richard Gonzalez, Istvan Gulyas
Claude De Gronckel, Patricio Rodriguez Chi
Pierre Darmon, Claude De Gronckel
Pierre Darmon, Norman Perry
Richard Gonzalez, Pierre Darmon
Bob Giltinan, Sergei Likhachev
Richard Gonzalez, Bob Giltinan
Richard Gonzalez, Ray Keldie
Richard Gonzalez, Roy Emerson
