Rosalyn Fairbank, Mareen Louie Harper
Katerina Maleeva, Ann Devries
Larisa Savchenko, Pam Shriver
Nicole Jagerman, Katrina Adams
Halle Cioffi, Rachel Mcquillan
Jill Hetherington, Sandra Cecchini
Beverly Bowes, Rene Simpson
Anne Minter, Catherine Tanvier
Gretchen Magers, Carling Bassett Seguso
Helena Sukova, Petra Langrova
Gabriela Sabatini, Claudia Porwik
Cathy Caverzasio, Mary Lou Piatek
Betsy Nagelsen, Raffaella Reggi Concato
Leila Meskhi, Karine Quentrec
Laura Arraya, Nicole Bradtke
Sylvia Hanika, Louise Field
Sophie Amiach, Hu Na
Conchita Martinez, Sandra Birch
Jana Novotna, Meredith Mcgrath
Barbara Paulus, Laura Lapi
Susan Sloane Lundy, Laura Garrone
Manon Bollegraf, Molly Van Nostrand
Laxmi Poruri, Carrie Cunningham
Sandra Wasserman, Helen Kelesi
Cammy Macgregor, Jana Pospisilova
Arantxa Sanchez Vicario, Jo Anne Faull
Zina Garrison, Radomira Zrubakova
Gigi Fernandez, Amanda Coetzer
Liz Smylie, Kumiko Okamoto
Patty Fendick, Janine Tremelling
Tine Scheuer Larsen, Louise Allen
Donna Faber, Jenny Byrne
Laura Golarsa, Barbara Romano
Hana Mandlikova, Eva Pfaff
Monica Seles, Ann Henricksson
Anne Smith, Kimiko Date Krumm
Stacey Martin, Mercedes Paz
Shaun Stafford, Kimberly Kessaris
Patricia Tarabini, Brenda Schultz Mccarthy
Angelika Kanellopoulou, Sara Gomer
Elise Burgin, Lori Mcneil
Chris Evert, Bettina Fulco
Manuela Maleeva Fragniere, Marianne Werdel Witmeyer
Isabel Cueto, Lisa Raymond
Kathy Rinaldi Stunkel, Jo Durie
Nathalie Tauziat, Andrea Farley
Tami Whitlinger Jones, Jennifer Santrock
Beth Herr, Akiko Kijimuta
Linda Ferrando, Isabelle Demongeot
Natalia Zvereva, Pascale Paradis Mangon
Wendy White, Mary Joe Fernandez
Regina Rajchrtova, Eva Krapl
Ann Grossman, Dianne Van Rensburg
Camille Benjamin, Andrea Vieira
Elna Reinach, Sandy Collins
Sabrina Goles, Ronni Reis
Julie Halard Decugis, Martina Pawlik
Martina Navratilova, Ei Iida
Steffi Graf, Nathalie Herreman
Terry Phelps, Robin White
Andrea Temesvari, Florencia Labat
Rosalyn Fairbank, Katerina Maleeva
Larisa Savchenko, Nicole Jagerman
Halle Cioffi, Jill Hetherington
Anne Minter, Beverly Bowes
Helena Sukova, Gretchen Magers
Gabriela Sabatini, Cathy Caverzasio
Leila Meskhi, Betsy Nagelsen
Sylvia Hanika, Laura Arraya
Conchita Martinez, Sophie Amiach
Barbara Paulus, Jana Novotna
Susan Sloane Lundy, Manon Bollegraf
Sandra Wasserman, Laxmi Poruri
