Carina Karlsson, Andrea Temesvari
Chris Evert, Claudia Kohde Kilsch
Martina Navratilova, Manuela Maleeva Fragniere
Kathy Jordan, Pam Shriver
Hana Mandlikova, Jo Durie
Chris Evert, Carina Karlsson
Martina Navratilova, Kathy Jordan
Chris Evert, Hana Mandlikova
Martina Navratilova, Chris Evert
Martina Navratilova, Lea Antonoplis
Andrea Leand, Betsy Nagelsen
Nathalie Herreman, Myriam Schropp
Jennifer Mundel, Catrin Jexell
Patty Fendick, Carina Karlsson
Marie Christine Calleja, Kim Steinmetz
Sandy Collins, Anne Hobbs
Barbara Potter, Stephanie Rehe
Lisa Bonder Kreiss, Pilar Vasquez
Debbie Spence Nasim, Alycia Moulton
Rene Uys, Tina Mochizuki
Yvonne Vermaak, Corinne Vanier
Gabriela Sabatini, Paula Smith
Kim Jones, Laura Arraya
Helena Sukova, Linda Howell
Kathy Jordan, Christiane Jolissaint
Pam Shriver, Beverly Bowes
Jenny Klitch, Wendy White
Virginia Wade, Mary Lou Piatek
Mareen Louie Harper, Kim Sands
Virginia Ruzici, Catherine Suire
Jamie Golder, Lisa Spain Short
Michelle Torres, Ann Kiyomura Hayashi
Susan Mascarin, Kathy Horvath
Wendy Turnbull, Candy Reynolds
Grace Kim, Ronni Reis
Beverly Mould, Gretchen Magers
Gigi Fernandez, Claudia Monteiro
Catarina Lindqvist Ryan, Kathleen Cummings
Catherine Tanvier, Leigh Anne Thompson
Kathy Rinaldi Stunkel, Marcella Mesker
Claudia Kohde Kilsch, Amanda Brown
Petra Delhees Jauch, Manuela Maleeva Fragniere
Petra Keppeler, Kate Latham
Melissa Gurney, Terry Phelps
Rosie Casals, Susan Leo
Mima Jausovec, Heather Ludloff
Ann Henricksson, Sophie Amiach
Pascale Paradis Mangon, Barbi Bramblett
Carling Bassett Seguso, Liz Smylie
Anne Minter, Jo Durie
Marcela Skuherska, Julie Harrington
Vicki Nelson, Emilse Raponi Longo
Lori Mcneil, Lucia Romanov
Anne White, Camille Benjamin
Etsuko Inoue, Pam Teeguarden
Tine Scheuer Larsen, Adriana Villagran Reami
Hana Mandlikova, Patricia Medrado
Zina Garrison, Sabrina Goles
