Bernard Tomic, Yoshihito Nishioka
Ivo Karlovic, Adrian Mannarino
Donald Young, Bernard Tomic
Ivo Karlovic, Donald Young
Simone Bolelli, Luca Vanni
Andrey Kuznetsov, Andrey Golubev
Gael Monfils, Alexander Zverev
Vasek Pospisil, Robin Haase
Dominic Thiem, Joao Sousa
David Goffin, Jerzy Janowicz
Gilles Simon, Pierre Hugues Herbert
Borna Coric, Denis Istomin
Jeremy Chardy, David Guez
Sergiy Stakhovsky, Lukas Rosol
Jan Lennard Struff, Nicolas Mahut
Benoit Paire, Paul Henri Mathieu
Simone Bolelli, Milos Raonic
Gael Monfils, Andrey Kuznetsov
Roberto Bautista Agut, Vasek Pospisil
Dominic Thiem, David Goffin
Gilles Simon, Borna Coric
Jeremy Chardy, Ernests Gulbis
Sergiy Stakhovsky, Jan Lennard Struff
Stan Wawrinka, Benoit Paire
Gael Monfils, Simone Bolelli
Roberto Bautista Agut, Dominic Thiem
Gilles Simon, Jeremy Chardy
Sergiy Stakhovsky, Stan Wawrinka
Gael Monfils, Roberto Bautista Agut
Gilles Simon, Sergiy Stakhovsky
Gilles Simon, Gael Monfils
Rafael Nadal, Thomaz Bellucci
Pablo Carreno Busta, Carlos Berlocq
Albert Montanes, Maximo Gonzalez
Pablo Cuevas, Nicolas Almagro
Fabio Fognini, Jiri Vesely
Pablo Andujar, Paolo Lorenzi
Federico Delbonis, Diego Schwartzman
Martin Klizan, Dusan Lajovic
Blaz Rola, Leonardo Mayer
Joao Souza, Facundo Arguello
Andreas Haider Maurer, Albert Ramos
Tommy Robredo, Elias Ymer
Juan Monaco, Santiago Giraldo
Jarkko Nieminen, Marco Cecchinato
Thiemo De Bakker, Guilherme Clezar
David Ferrer, Daniel Gimeno Traver
Rafael Nadal, Pablo Carreno Busta
Pablo Cuevas, Albert Montanes
Fabio Fognini, Pablo Andujar
Federico Delbonis, Martin Klizan
Joao Souza, Blaz Rola
Andreas Haider Maurer, Tommy Robredo
Juan Monaco, Jarkko Nieminen
David Ferrer, Thiemo De Bakker
Rafael Nadal, Pablo Cuevas
Fabio Fognini, Federico Delbonis
Andreas Haider Maurer, Joao Souza
David Ferrer, Juan Monaco
Fabio Fognini, Rafael Nadal
David Ferrer, Andreas Haider Maurer
David Ferrer, Fabio Fognini
Kei Nishikori, Alejandro Gonzalez
Yen Hsun Lu, Victor Estrella
Andreas Haider Maurer, Robin Haase
Alexandr Dolgopolov, Sam Groth
Kevin Anderson, Dustin Brown
Steve Johnson, Ivan Dodig
Viktor Troicki, Daniel Garza
Santiago Giraldo, Austin Krajicek
Ivo Karlovic, Teymuraz Gabashvili
Dusan Lajovic, Thanasi Kokkinakis
Ryan Harrison, Donald Young
Grigor Dimitrov, Filip Krajinovic
Benjamin Becker, Tobias Kamke
Bernard Tomic, Adrian Mannarino
Marinko Matosevic, Marcel Granollers
David Ferrer, Igor Sijsling
Kei Nishikori, Yen Hsun Lu
Alexandr Dolgopolov, Andreas Haider Maurer
Kevin Anderson, Steve Johnson
Viktor Troicki, Santiago Giraldo
Ivo Karlovic, Dusan Lajovic
Ryan Harrison, Grigor Dimitrov
Bernard Tomic, Benjamin Becker
David Ferrer, Marinko Matosevic
Kei Nishikori, Alexandr Dolgopolov
Kevin Anderson, Viktor Troicki
Ryan Harrison, Ivo Karlovic
David Ferrer, Bernard Tomic
Kei Nishikori, Kevin Anderson
David Ferrer, Ryan Harrison
David Ferrer, Kei Nishikori
Facundo Arguello, Albert Montanes
Paolo Lorenzi, Thomaz Bellucci
Federico Delbonis, Pablo Carreno Busta
Carlos Berlocq, Diego Schwartzman
Facundo Bagnis, Marco Cecchinato
Blaz Rola, Jiri Vesely
Leonardo Mayer, Stephane Robert
Juan Monaco, Maximo Gonzalez
Guido Andreozzi, Andres Molteni
Nicolas Almagro, Pablo Andujar
Albert Ramos, Horacio Zeballos
Renzo Olivo, Jarkko Nieminen
Rafael Nadal, Facundo Arguello
Federico Delbonis, Paolo Lorenzi
Carlos Berlocq, Fabio Fognini
Blaz Rola, Facundo Bagnis
Juan Monaco, Leonardo Mayer
Pablo Cuevas, Guido Andreozzi
