Jenny Walker, Chris Matison
Billie Jean King, Laurie Fleming
Kathy Kuykendall, Laura Dupont
Rosie Casals, Glynis Coles
Francoise Durr, Betty Stove
Helen Gourlay, Kristien Shaw
Peaches Bartkowicz, Sue Stap
Mona Guerrant, Martina Navratilova
Kerry Reid, Sharon Walsh Pete
Billie Jean King, Kathy Kuykendall
Rosie Casals, Francoise Durr
Helen Gourlay, Peaches Bartkowicz
Kerry Reid, Mona Guerrant
Billie Jean King, Rosie Casals
Kerry Reid, Helen Gourlay
Rosie Casals, Helen Gourlay
Billie Jean King, Kerry Reid
Chris Evert, Laurie Fleming
Wendy Overton, Glynis Coles
Betty Stove, Karen Krantzcke
Virginia Ruzici, Peaches Bartkowicz
Rosie Casals, Mima Jausovec
Jeanne Evert, Marcie Louie
Francoise Durr, Helen Gourlay
Sharon Walsh Pete, Carrie Fleming
Isabel Fernandez De Soto, Patricia Reese
Julie Heldman, Martina Navratilova
Tory Ann Fretz, Ching Ling Chang
Nancy Richey, Mona Guerrant
Lesley Hunt, Robin Tenney
Kathy Kuykendall, Pam Teeguarden
Katja Ebbinghaus, Kerry Harris
Kerry Reid, Elly Appel
Chris Evert, Wendy Overton
Betty Stove, Virginia Ruzici
Rosie Casals, Jeanne Evert
Francoise Durr, Sharon Walsh Pete
Isabel Fernandez De Soto, Julie Heldman
Nancy Richey, Tory Ann Fretz
Kathy Kuykendall, Lesley Hunt
Kerry Reid, Katja Ebbinghaus
Chris Evert, Betty Stove
Rosie Casals, Francoise Durr
Nancy Richey, Isabel Fernandez De Soto
Kerry Reid, Kathy Kuykendall
Chris Evert, Rosie Casals
Kerry Reid, Nancy Richey
Jeanne Evert, Kerry Reid
Billie Jean King, Trish Mcclenaughan
Sharon Walsh Pete, Tory Ann Fretz
Mima Jausovec, Laurie Fleming
Lesley Hunt, Ching Ling Chang
Francoise Durr, Sue Stap
Karen Krantzcke, Robin Tenney
Ingrid Bentzer, Kathy Kuykendall
Valerie Ziegenfuss, Barbara Downs
Kristien Shaw, Kristy Pigeon
Virginia Ruzici, Betty Stove
Wendy Overton, Patricia Shoolman
Virginia Wade, Isabel Fernandez De Soto
Marcie Louie, Peaches Bartkowicz
Laura Dupont, Elly Appel
Martina Navratilova, Janet Newberry
Rosie Casals, Terry Holladay
Billie Jean King, Sharon Walsh Pete
Lesley Hunt, Mima Jausovec
Francoise Durr, Karen Krantzcke
Valerie Ziegenfuss, Ingrid Bentzer
Kristien Shaw, Virginia Ruzici
Virginia Wade, Wendy Overton
Marcie Louie, Laura Dupont
Rosie Casals, Martina Navratilova
Billie Jean King, Lesley Hunt
Francoise Durr, Valerie Ziegenfuss
Virginia Wade, Kristien Shaw
Rosie Casals, Marcie Louie
Billie Jean King, Francoise Durr
Rosie Casals, Virginia Wade
Billie Jean King, Rosie Casals
Billie Jean King, Peaches Bartkowicz
Sharon Walsh Pete, Patricia Shoolman
Laura Dupont, Kristien Shaw
Barbara Downs, Sandy Stap
Virginia Wade, Laurie Fleming
Kristy Pigeon, Katja Ebbinghaus
Francoise Durr, Cecilia Martinez
Lesley Hunt, Sally Greer
Valerie Ziegenfuss, Patricia Bostrom
Marcie Louie, Kathy Kuykendall
Martina Navratilova, Sue Stap
Rosie Casals, Janet Newberry
Tory Ann Fretz, Ann Kiyomura Hayashi
Betty Stove, Isabel Fernandez De Soto
Karen Krantzcke, Wendy Overton
Chris Evert, Pam Teeguarden
Billie Jean King, Sharon Walsh Pete
Laura Dupont, Barbara Downs
Virginia Wade, Kristy Pigeon
Lesley Hunt, Francoise Durr
Valerie Ziegenfuss, Marcie Louie
Rosie Casals, Martina Navratilova
Betty Stove, Tory Ann Fretz
Chris Evert, Karen Krantzcke
Billie Jean King, Laura Dupont
Virginia Wade, Lesley Hunt
Rosie Casals, Valerie Ziegenfuss
Chris Evert, Betty Stove
Virginia Wade, Billie Jean King
Rosie Casals, Chris Evert
Virginia Wade, Rosie Casals
Chris Evert, Sue Stap
Laura Dupont, Mariana Simionescu
Lesley Hunt, Betty Stove
Wendy Overton, Kate Latham
Rosie Casals, Isabel Fernandez De Soto
Martina Navratilova, Janet Haas
Francoise Durr, Kristien Shaw
Valerie Ziegenfuss, Katja Ebbinghaus
Karen Krantzcke, Barbara Downs
Laurie Fleming, Kathy Kuykendall
Pam Teeguarden, Tory Ann Fretz
Virginia Wade, Kristy Pigeon
Janet Newberry, Virginia Ruzici
Sally Greer, Sharon Walsh Pete
Marcie Louie, Ann Kiyomura Hayashi
Nancy Richey, Elly Appel
Chris Evert, Laura Dupont
Lesley Hunt, Wendy Overton
Rosie Casals, Martina Navratilova
Francoise Durr, Valerie Ziegenfuss
Karen Krantzcke, Laurie Fleming
Virginia Wade, Pam Teeguarden
Janet Newberry, Sally Greer
Nancy Richey, Marcie Louie
Chris Evert, Lesley Hunt
Francoise Durr, Rosie Casals
Virginia Wade, Karen Krantzcke
Nancy Richey, Janet Newberry
Chris Evert, Francoise Durr
Virginia Wade, Nancy Richey
Chris Evert, Virginia Wade
Billie Jean King, Cecilia Martinez
Donna Ganz, Glynis Coles
Julie Heldman, Janet Haas
Marcie Louie, Elly Appel
Rosie Casals, Betsy Nagelsen
Kristien Shaw, Susan Vinton
Valerie Ziegenfuss, Katja Ebbinghaus
Olga Morozova, Peaches Bartkowicz
Martina Navratilova, Mary Ann Eisel
Wendy Overton, Laura Dupont
Janet Newberry, Patricia Reese
Nancy Richey, Robin Tenney
Pam Teeguarden, Veronica Burton
Laurie Tenney, Karen Krantzcke
Sharon Walsh Pete, Sue Stap
Virginia Wade, Sally Greer
Billie Jean King, Donna Ganz
Julie Heldman, Marcie Louie
Rosie Casals, Kristien Shaw
Olga Morozova, Valerie Ziegenfuss
Martina Navratilova, Wendy Overton
Nancy Richey, Janet Newberry
Pam Teeguarden, Laurie Tenney
Sharon Walsh Pete, Virginia Wade
Billie Jean King, Julie Heldman
Olga Morozova, Rosie Casals
Nancy Richey, Martina Navratilova
Pam Teeguarden, Sharon Walsh Pete
Billie Jean King, Olga Morozova
Nancy Richey, Pam Teeguarden
Billie Jean King, Nancy Richey
Billie Jean King, Renata Tomanova
Pam Teeguarden, Martina Navratilova
Laura Dupont, Janet Newberry
Julie Heldman, Donna Ganz
Rosie Casals, Tory Ann Fretz
Kathy Kuykendall, Robin Tenney
Francoise Durr, Wendy Overton
Olga Morozova, Laurie Fleming
Betty Stove, Michele Gurdal
Lesley Hunt, Isabel Fernandez De Soto
Kristien Shaw, Miroslava Kozeluhova
Virginia Wade, Barbara Downs
Marcie Louie, Betsy Nagelsen
Valerie Ziegenfuss, Veronica Burton
Mary Ann Eisel, Patricia Reese
Chris Evert, Sharon Walsh Pete
Billie Jean King, Pam Teeguarden
Julie Heldman, Laura Dupont
Rosie Casals, Kathy Kuykendall
Francoise Durr, Olga Morozova
Betty Stove, Lesley Hunt
Virginia Wade, Kristien Shaw
Marcie Louie, Valerie Ziegenfuss
Chris Evert, Mary Ann Eisel
Billie Jean King, Julie Heldman
Rosie Casals, Francoise Durr
Betty Stove, Virginia Wade
Chris Evert, Marcie Louie
Billie Jean King, Rosie Casals
Chris Evert, Betty Stove
Rosie Casals, Betty Stove
Billie Jean King, Chris Evert
Chris Evert, Carrie Meyer
Sue Stap, Glynis Coles
Betty Stove, Kathy Kuykendall
Robin Tenney, Sharon Walsh Pete
Olga Morozova, Barbara Downs
Terry Holladay, Eugenia Birioukova
Julie Heldman, Zenda Liess
Kerry Harris, Laurie Tenney
Ilana Kloss, Laurie Fleming
Lesley Hunt, Tory Ann Fretz
Helga Masthoff, Patti Hogan
Kerry Reid, Isabel Fernandez De Soto
Laura Dupont, Cecilia Martinez
Helen Gourlay, Donna Ganz
Jeanne Evert, Janet Newberry
Evonne Goolagong, Sally Greer
Chris Evert, Sue Stap
Betty Stove, Robin Tenney
Olga Morozova, Terry Holladay
Julie Heldman, Kerry Harris
Ilana Kloss, Lesley Hunt
Kerry Reid, Helga Masthoff
Helen Gourlay, Laura Dupont
Evonne Goolagong, Jeanne Evert
Chris Evert, Betty Stove
Olga Morozova, Julie Heldman
Kerry Reid, Ilana Kloss
Evonne Goolagong, Helen Gourlay
Chris Evert, Olga Morozova
Evonne Goolagong, Kerry Reid
Chris Evert, Evonne Goolagong
Chris Evert, Patricia Bostrom
Glynis Coles, Kate Latham
Betty Ann Grubb, Laura Dupont
