Jenny Walker, Chris Matison
Lesley Charles, Greer Stevens
Sue Mappin, Jenny Helliar
Jenny Dimond, Susan Minford
Kate Latham, Patti Hogan
Lesley Charles, Sue Mappin
Kate Latham, Jenny Dimond
Kate Latham, Lesley Charles
Sue Barker, Shari Barman
Di Riste, Sally Arnott
Maricaye Christenson, Sheila Page
Rosemary Pearson, Greta Stirton
Carrie Meyer, Jill Griffiths
Pam Whytcross, Linda Geeves
Mandy Morgan, Julia Potterton
Gwynn Sammel, Jenny Walker
Sue Barker, Di Riste
Maricaye Christenson, Diane Eastburn
Annette Coe, Rosemary Pearson
Rowena Sanders, Clare Colman
Carrie Meyer, Judy Congdon
Pam Whytcross, Helle Sparre
Chris Oneil, Mandy Morgan
Paulina Peisachov, Gwynn Sammel
Sue Barker, Maricaye Christenson
Annette Coe, Rowena Sanders
Carrie Meyer, Pam Whytcross
Paulina Peisachov, Chris Oneil
Sue Barker, Annette Coe
Paulina Peisachov, Carrie Meyer
Paulina Peisachov, Sue Barker
Penny Moor, Tam Oshaughnessy
Chris Oneil, Mimi Wikstedt
Marina Kroschina, Nellemieke Brouwer
Linky Boshoff, Maricaye Christenson
Anne Mette Sorensen, Linda Geeves
Kathy May, Carmen Perea Alcala
Norma Eastburn, Susan Das
Michele Gurdal, Shirley Bloomer
Patricia Coleman, Jill Schwikert
Jenny Walker, Lindsay Blachford
Elly Appel, Greta Stirton
Christina Sandberg, Sally Hudson Beck
Annette Coe, Shari Barman
Patti Hogan, Clare Colman
Chris Matison, Ching Ling Chang
Kate Latham, Judy Congdon
Helle Sparre, Joy Schwikert
Christine Truman, Penny Moor
Chris Oneil, Marina Kroschina
Linky Boshoff, Greer Stevens
Veronica Burton, Anne Mette Sorensen
Kathy May, Norma Eastburn
Michele Gurdal, Patricia Coleman
Elly Appel, Jenny Walker
Annette Coe, Christina Sandberg
Betsy Nagelsen, Lindsey Beaven
Naoko Sato, Belinda Thompson
Jenny Dimond, Susan Minford
Paulina Peisachov, Jenny Helliar
Chris Matison, Patti Hogan
Kate Latham, Helle Sparre
Christine Truman, Chris Oneil
Linky Boshoff, Veronica Burton
Kathy May, Michele Gurdal
Elly Appel, Annette Coe
Betsy Nagelsen, Naoko Sato
Paulina Peisachov, Jenny Dimond
Kate Latham, Chris Matison
Christine Truman, Linky Boshoff
Elly Appel, Kathy May
Paulina Peisachov, Betsy Nagelsen
Kate Latham, Christine Truman
Paulina Peisachov, Elly Appel
Paulina Peisachov, Kate Latham
Patricia Reese, Elvira Weisenberger
Janet Haas, Wendy Gilchrist
Patricia Reese, Janet Haas
Ilana Kloss, Clare Colman
Jackie Fayter, Laurie Tenney
Robin Tenney, Lindsay Blachford
Nerida Gregory, Sue Stap
Paulina Peisachov, Peggy Michel
Carrie Meyer, Linda Mottram
Marina Kroschina, Jeanne Evert
Veronica Burton, Penny Moor
Robin Tenney, Ilana Kloss
Jackie Fayter, Dianne Fromholtz
Annette Coe, Patricia Bostrom
Helena Anliot, Julie Heldman
Paulina Peisachov, Nerida Gregory
Lindsey Beaven, Carrie Meyer
Marina Kroschina, Veronica Burton
Jackie Fayter, Robin Tenney
Annette Coe, Helena Anliot
Lindsey Beaven, Paulina Peisachov
Marina Kroschina, Jackie Fayter
Lindsey Beaven, Annette Coe
Marina Kroschina, Lindsey Beaven
Helga Masthoff, Alena Palmeova West
Heide Orth, Kazuko Sawamatsu
Helga Masthoff, Heide Orth
Glynis Coles, Annika Nydeus
Fiorella Bonicelli, Mimi Wikstedt
Marijke Jansen, Helena Anliot
Christina Sandberg, Nina Bohm
Linda Mottram, Margareta Strandberg
Marianne Fornstedt, Ingrid Bentzer
Sue Barker, Maria Teresa Nasuelli
Cecilia Martinez, Ana Maria Arias
Fiorella Bonicelli, Glynis Coles
Marijke Jansen, Margareta Strandberg
Linda Mottram, Marianne Fornstedt
Sue Barker, Cecilia Martinez
Marijke Jansen, Fiorella Bonicelli
Sue Barker, Linda Mottram
Sue Barker, Marijke Jansen
Kayoko Fukuoka, Rita Felix
Marianne Kindler, Marion Proisy
Odile De Roubin, Daria Kopsic
Michelle Rodriguez, M Jeanneret
Lea Pericoli, Kayoko Fukuoka
Odile De Roubin, Marianne Kindler
Helga Schultze, Michelle Rodriguez
Daniele Bouteleux, Evagreth Emmenegger
Lea Pericoli, Odile De Roubin
Helga Schultze, Daniele Bouteleux
Helga Schultze, Lea Pericoli
Jackie Fayter, Maureen Ryan
Elvira Weisenberger, Colette Egan
Chris Matison, Paula Mullen
Beatriz Araujo, Helen Johnstone
Gail Sherriff, Frances Critchley
Wendy Gilchrist, Niamh Glenn
Pam Whytcross, Anthea Odonoghue
Mary Bryan, Helen Lennon
Corinne Molesworth, Ann Keegan
Dianne Fromholtz, Daryl Gralka
Jackie Fayter, Judy Chaloner
Elvira Weisenberger, Chris Matison
Gail Sherriff, Beatriz Araujo
Wendy Gilchrist, Pam Whytcross
Corinne Molesworth, Mary Bryan
Lindsey Beaven, Geraldine Barniville
Raquel Giscafre, Mandy Morgan
Dianne Fromholtz, Jackie Fayter
Gail Sherriff, Elvira Weisenberger
Wendy Gilchrist, Corinne Molesworth
Raquel Giscafre, Lindsey Beaven
Gail Sherriff, Dianne Fromholtz
Raquel Giscafre, Wendy Gilchrist
Gail Sherriff, Raquel Giscafre
Lois Raymond, J Rowe
A Derby, Julia Lloyd
D Dunkin, C Charlton
Greta Stirton, Beverley Vercoe
Lois Raymond, A Derby
Greta Stirton, D Dunkin
Greta Stirton, Lois Raymond
Marjorie Love, Susan Das
Patricia Coleman, Jenny Helliar
Marjorie Love, Patricia Coleman
Julie Heldman, S Watts
Penny Moor, Diane Eastburn
Jenny Dimond, N Spence
Belinda Thompson, Sally Greer
Carrie Meyer, J Criton
Veronica Burton, Mary Otoole
Paulina Peisachov, A Burchall
Linda Geeves, Norma Eastburn
Lindsay Blachford, Janet Haas
Sue Mappin, Sue Williams
Betsy Nagelsen, S Worsford
Rowena Sanders, Sue Imhoff
Lesley Charles, Sally Geeves
Naoko Sato, Annette Coe
Patti Hogan, D Aspinwall
Julie Heldman, Penny Moor
Jenny Dimond, Belinda Thompson
Carrie Meyer, Veronica Burton
Paulina Peisachov, Linda Geeves
Sue Mappin, Lindsay Blachford
Betsy Nagelsen, Rowena Sanders
Lesley Charles, Clare Colman
Patti Hogan, Naoko Sato
Julie Heldman, Jenny Dimond
Carrie Meyer, Paulina Peisachov
Sue Mappin, Betsy Nagelsen
Patti Hogan, Lesley Charles
Julie Heldman, Carrie Meyer
Sue Mappin, Patti Hogan
Julie Heldman, Sue Mappin
Joanne Russell, Nancy Ornstein
Lindsay Morse, Lourdes Diaz Ponce
Ching Ling Chang, Ann Price
Jodi Appelbaum, Nancy Yeargin
Jeanne Evert, Mary Hamm
Joanne Russell, Sandy Stap
Lindsay Morse, Candy Reynolds
Patricia Reese, Ching Ling Chang
Diane Desfor, Rayni Fox
Jodi Appelbaum, Kathy May
Jeanne Evert, Joanne Russell
Lindsay Morse, Carrie Fleming
Patricia Reese, Patricia Shoolman
Jodi Appelbaum, Diane Desfor
Jeanne Evert, Lindsay Morse
Jodi Appelbaum, Patricia Reese
Jeanne Evert, Jodi Appelbaum
Katja Ebbinghaus, Helga Masthoff
Beatriz Araujo, J B Atkinson
Lindsay Blachford, Mandy Morgan
Paulina Peisachov, Linda Woods
Lesley Charles, Norma Eastburn
Dianne Fromholtz, S Sivl
Sue Mappin, Naoko Sato
Veronica Burton, Sue Imhoff
Elvira Weisenberger, Sue Eiges
Jenny Dimond, Clare Colman
Patti Hogan, Susan Prysor Jones
Jackie Fayter, Beatriz Araujo
Linda Geeves, Raquel Giscafre
Lindsay Blachford, Wendy Gilchrist
Paulina Peisachov, Lesley Charles
Dianne Fromholtz, Sue Mappin
Veronica Burton, Elvira Weisenberger
Jenny Dimond, Lindsey Beaven
Patti Hogan, Daryl Gralka
Jackie Fayter, Linda Geeves
Paulina Peisachov, Lindsay Blachford
Dianne Fromholtz, Veronica Burton
Patti Hogan, Jenny Dimond
Jackie Fayter, Paulina Peisachov
Patti Hogan, Dianne Fromholtz
Jackie Fayter, Patti Hogan
Helga Schultze, Ria Hollingworth
Iris Riedel Kuhn, Odile De Roubin
Fiorella Bonicelli, Erzsebet Polgar
Miroslava Kozeluhova, Kora Schediwy
Katja Ebbinghaus, Beatrix Klein
Mima Jausovec, Marketa Wallenfels
Eva Szabo, Sabine Bernegger
Miroslava Holubova, Silvia Blume Bruns
Helga Schultze, Iris Riedel Kuhn
Miroslava Kozeluhova, Fiorella Bonicelli
Mima Jausovec, Katja Ebbinghaus
Eva Szabo, Miroslava Holubova
Miroslava Kozeluhova, Helga Schultze
Mima Jausovec, Eva Szabo
Miroslava Kozeluhova, Mima Jausovec
Alena Palmeova West, F Oschwald
Sally Hudson Beck, Ann Bostrom
Judy Chaloner, Rita Felix
Lucia Bassi, Radka Jansa
Alena Palmeova West, Sally Hudson Beck
Lucia Bassi, Judy Chaloner
Alena Palmeova West, Lucia Bassi
Clare Schmoyer, Bev Barger
Sally Moore, Isabella Ortiz
Robin Kahn, Dodo Cheney
Connie Pearson, Kim Nilsson
Sally Moore, Clare Schmoyer
Robin Kahn, Connie Pearson
Sally Moore, Robin Kahn
Corinne Molesworth, Beverley Vercoe
Marina Kroschina, Elena Granaturovna
Raquel Giscafre, Rozi Feldman
Alena Palmeova West, Chris Matison
Raquel Giscafre, Alena Palmeova West
Martina Navratilova, Lubka Radkova
Martina Navratilova,  Wiezorek
Martina Navratilova, Natasha Chmyreva
Miroslava Kozeluhova, Olga Morozova
Eva Szabo, Dagmar Stoltenberg
Marina Kroschina, Renata Tomanova
Martina Navratilova, Miroslava Kozeluhova
Marina Kroschina, Eva Szabo
Martina Navratilova, Marina Kroschina
Wendy Gilchrist, Wendy Slaughter
Erzsebet Polgar, Marianne Kindler
Chris Matison, Raquel Giscafre
Wendy Gilchrist, Ruth Allan
Helga Schultze, Katja Ebbinghaus
Helga Masthoff, Iris Riedel Kuhn
Helga Schultze, Helga Masthoff
Jenny Dimond, Jenny Helliar
Clare Harrison, Lorna Cornell
Ruta Gerulaitis, Marita Redondo
Rayni Fox, Barbara Goldman
Carole Graebner, Betty Newfield
Mary Carillo, Debbie Campbell
Ann Kiyomura Hayashi, Kathleen Harter
Pam Teeguarden, Marjory Gengler
Rayni Fox, Ruta Gerulaitis
Carole Graebner, Mary Carillo
Dianne Fromholtz, Ann Kiyomura Hayashi
Pam Teeguarden, Rayni Fox
Dianne Fromholtz, Carole Graebner
Pam Teeguarden, Dianne Fromholtz
Kathy May, Flo Bryan
Heather Dahlgren, Chris Safford
Mary Hamm, Barbara Hallquist
Bunny Bruning, Jean Nachand
Marcy Okeefe, Jodi Appelbaum
Susan Hagey, Lourdes Diaz Ponce
Lindsay Morse, Judy Gfroerer
Susan Eastman, Nancy Yeargin
Lea Antonoplis, Joanne Russell
Barbara Jordan, Diane Desfor
Candy Reynolds, Lisa Nard
Claudia Smith, Paula Smith
Lele Forood, Maree Mccallum
Stephanie Tolleson, Cindy Brinker
Susie Mehmedbasich, Gretchen Galt
Kathy May, Heather Dahlgren
Mary Hamm, Bunny Bruning
Zenda Liess, Marcy Okeefe
Lindsay Morse, Susan Hagey
Susan Eastman, Lea Antonoplis
Barbara Jordan, Candy Reynolds
Lele Forood, Claudia Smith
Susie Mehmedbasich, Stephanie Tolleson
Kathy May, Mary Hamm
Lindsay Morse, Zenda Liess
Barbara Jordan, Susan Eastman
Lele Forood, Susie Mehmedbasich
Kathy May, Lindsay Morse
Barbara Jordan, Lele Forood
Kathy May, Barbara Jordan
Sue Barker, Jenny Helliar
Annette Coe, Jill Cottrell
Sue Barker, Annette Coe
Sue Barker, Ruth Allan
Annette Coe, Jenny Dimond
Sue Barker, Annette Coe
Karen Krantzcke, Jeanne Evert
Evonne Goolagong, Janet Newberry
Julie Heldman, Lesley Hunt
Kristien Shaw, Janet Young
Julie Heldman, Evonne Goolagong
Lesley Hunt, Janet Newberry
Gail Sherriff, Odile De Roubin
Kristy Pigeon, Kathy Blake
Tine Zwaan, Jenny Walker
Ching Ling Chang, Debbie Cator
Dianne Fromholtz, Susan Zaro
Ann Kiyomura Hayashi, Penny Moor
Denise Carter, Marie Pinterova
Wendy Turnbull, Pamela Austin
Kathleen Harter, Bunny Bruning
Tine Zwaan, Kristy Pigeon
Dianne Fromholtz, Ching Ling Chang
Ann Kiyomura Hayashi, Denise Carter
Kathleen Harter, Wendy Turnbull
Dianne Fromholtz, Tine Zwaan
Ann Kiyomura Hayashi, Kathleen Harter
Dianne Fromholtz, Ann Kiyomura Hayashi
Renata Tomanova, Beatriz Araujo
Glynis Coles, Florence Guedy
Renata Tomanova, Glynis Coles
Renata Tomanova, Miroslava Kozeluhova
Virginia Ruzici, Mariana Hadgiu
Valeria Balaj, Elena Trifu
Florenta Mihai, Simona Nunweiler
Mariana Simionescu, Adriana Caraiosifogiu
Virginia Ruzici, Valeria Balaj
Mariana Simionescu, Florenta Mihai
Virginia Ruzici, Mariana Simionescu
Linda Lewis, Barbara Hallquist
Gayle Godwin, Lindsay Morse
Linda Lewis, Lea Antonoplis
Susan Hagey, Rita Agassi
Tina Olsen, P Varga
Linda Lewis, Gayle Godwin
Susan Hagey, Tina Olsen
Linda Lewis, Susan Hagey
Fiorella Bonicelli, Lena Dvotunik
Beatrix Klein, Judy Chaloner
Miroslava Holubova, R Murphy
Eva Szabo, Jelena Gencic
Beatrix Klein, Fiorella Bonicelli
Miroslava Holubova, Eva Szabo
Miroslava Holubova, Beatrix Klein
Lesley Turner, Kathy Walker
Rosie Reyes, Sue Barker
Almut Sturm, Lesley Charles
Sue Mappin, Carmen Bustamante
Miroslava Kozeluhova, Monica Alvarez
Carmen Coronado, Iris Riedel Kuhn
Lindsey Beaven, Daphne Pattison
Helga Masthoff, Margaret Riley
Sue Mappin, Kora Schediwy
Carmen Coronado, Lindsey Beaven
Renata Tomanova, Elisa Gisbert
Tine Zwaan, Almut Sturm
Miroslava Kozeluhova, Rosie Reyes
Ana Maria Arias, Charo Couder
Virginia Ruzici, P Lowden
Helga Masthoff, Sue Mappin
Renata Tomanova, Carmen Coronado
Tine Zwaan, Miroslava Kozeluhova
Virginia Ruzici, Ana Maria Arias
Helga Masthoff, Renata Tomanova
Tine Zwaan, Virginia Ruzici
Helga Masthoff, Tine Zwaan
Nathalie Fuchs, Ana Maria Estalella Manso
Tine Zwaan, Daphne Pattison
Isabel Fernandez De Soto, Maria Victoria Baldovinos Cibeira
Helga Masthoff, Miroslava Kozeluhova
Kora Schediwy, Renata Tomanova
Virginia Ruzici, A Mateo
Isabel Fernandez De Soto, Helga Masthoff
Nathalie Fuchs, Tine Zwaan
Elly Appel, Kora Schediwy
Glynis Coles, Virginia Ruzici
Nathalie Fuchs, Isabel Fernandez De Soto
Glynis Coles, Elly Appel
Nathalie Fuchs, Glynis Coles
Virginia Wade, Julie Heldman
Glynis Coles, Janet Newberry
Sue Barker, Jeanne Evert
Glynis Coles, Julie Heldman
Virginia Wade, Janet Newberry
Chris Evert, Evonne Goolagong
Virginia Wade, Billie Jean King
Chris Evert, Virginia Wade
Annette Van Zyl, Brenda Kirk
Pam Teeguarden, Isabel Fernandez De Soto
Vicki Lancaster Kerr, Cynthia Doerner
Wendy Gilchrist, Ann Moore
Nerida Gregory, Rosemary White
Katja Ebbinghaus, Marcela De Grigorio
Patricia Bianchi, Kora Schediwy
Michelle Rodriguez, Ana Maria Arias
Raquel Giscafre, Diana Flikier
Helga Masthoff, Beatriz Villaverde
Elvira Weisenberger, Adriana Villagran Reami
Beatriz Araujo, Marcela Viviana Cataldi
Katja Ebbinghaus, Patricia Bianchi
Raquel Giscafre, Michelle Rodriguez
Elvira Weisenberger, Helga Masthoff
Beatriz Araujo, Susana Maria Villaverde
Raquel Giscafre, Katja Ebbinghaus
Beatriz Araujo, Elvira Weisenberger
Raquel Giscafre, Beatriz Araujo
Chris Evert, Shari Barman
Lesley Hunt, Tory Ann Fretz
Kazuko Sawamatsu, Julie Heldman
Rosie Casals, Kristien Shaw
Chris Evert, Lesley Hunt
Rosie Casals, Kazuko Sawamatsu
Chris Evert, Rosie Casals
Fiona Moffitt, Sally Geeves
Annette Coe, Joanne Mchugo
Susan Battersby, C Dunningham
Julia Lloyd, J Matthews
Lindsay Blachford, C Whitehead
Pat Wheeler, Julia Gregory
Janet Newberry, Sue Imhoff
Linda Geeves, Fiona Moffitt
Annette Coe,  Hardwick
Winnie Shaw, Susan Battersby
Patti Hogan, Julia Lloyd
Lindsay Blachford, Suzanne Bakewell
Pat Wheeler, Jane Charlton
Ann Jones, Marjorie Blackwood
Janet Newberry, Linda Geeves
Winnie Shaw, Annette Coe
Lindsay Blachford, Patti Hogan
Ann Jones, Pat Wheeler
Janet Newberry, Winnie Shaw
Ann Jones, Lindsay Blachford
Ann Jones, Janet Newberry
Evonne Goolagong, Diane Eastburn
Michele Gurdal, Linda Mottram
Cynthia Doerner, Cecilia Martinez
Wendy Turnbull, Peggy Michel
Evonne Goolagong, Michele Gurdal
Cynthia Doerner, Wendy Turnbull
Evonne Goolagong, Cynthia Doerner
Natasha Chmyreva, Michele Gurdal
Glynis Coles, Kerry Walker
Jan Wilson, Sue Barker
Helena Anliot, Olga Morozova
Natasha Chmyreva, Glynis Coles
Helena Anliot, Jan Wilson
Helena Anliot, Natasha Chmyreva
Brigette Cuypers, Florence Guedy
Linky Boshoff, Greer Stevens
Annette Van Zyl, Laurie Tenney
Sharon Walsh Pete, Alison Mcmillan
Brigette Cuypers, Linky Boshoff
Annette Van Zyl, Sharon Walsh Pete
Brigette Cuypers, Annette Van Zyl
Laurie Tenney, Linky Boshoff
Brigette Cuypers, Alison Mcmillan
Yvonne Vermaak, Greer Stevens
Sharon Walsh Pete, Marise Kruger
Brigette Cuypers, Laurie Tenney
Sharon Walsh Pete, Yvonne Vermaak
Sharon Walsh Pete, Brigette Cuypers
Sue Barker, Chris Matison
Florence Guedy, Sabina Simmonds
Sharon Walsh Pete, Rowena Sanders
Laurie Tenney, Annette Coe
Annette Van Zyl, Laurie Tenney
Ilana Kloss, Brigette Cuypers
Linky Boshoff, Marise Kruger
Sharon Walsh Pete, Florence Guedy
Ilana Kloss, Annette Van Zyl
Sharon Walsh Pete, Linky Boshoff
Sharon Walsh Pete, Ilana Kloss
