Arantxa Sanchez Vicario, Susan Sloane Lundy
Zina Garrison, Jill Hetherington
Elna Reinach, Mary Joe Fernandez
Martina Navratilova, Anne Minter
Steffi Graf, Patty Fendick
Katerina Maleeva, Helena Sukova
Chris Evert, Judith Wiesner
Manuela Maleeva Fragniere, Barbara Potter
Gabriela Sabatini, Stephanie Rehe
Larisa Savchenko, Terry Phelps
Zina Garrison, Arantxa Sanchez Vicario
Martina Navratilova, Elna Reinach
Steffi Graf, Katerina Maleeva
Chris Evert, Manuela Maleeva Fragniere
Gabriela Sabatini, Larisa Savchenko
Zina Garrison, Martina Navratilova
Steffi Graf, Chris Evert
Gabriela Sabatini, Zina Garrison
Steffi Graf, Gabriela Sabatini
Sara Gomer, Jill Hetherington
Wiltrud Probst, Hellas Ter Riet
Tina Mochizuki, Alexia Dechaume Balleret
Anne Minter, Alison Scott
Lisa Oneill, Michelle Jaggard Lai
Janine Tremelling, Dee Ann Hansel
Sandra Wasserman, Cammy Macgregor
Catherine Suire, Pascale Paradis Mangon
Jana Novotna, Julie Richardson
Ann Henricksson, Elizabeth Minter
Masako Yanagi, Cynthia Macgregor
Betsy Nagelsen, Louise Field
Patty Fendick, Nicole Bradtke
Heather Ludloff, Kristine Kunce
Christiane Jolissaint, Julie Halard Decugis
Belinda Cordwell, Eva Pfaff
Ann Devries, Camille Benjamin
Brenda Schultz Mccarthy, Emmanuelle Derly
Maria Lindstrom, Manon Bollegraf
Hester Witvoet, Sharon Walsh Pete
Rosalyn Fairbank, Radomira Zrubakova
Marianne Werdel Witmeyer, Catherine Tanvier
Jo Durie, Eva Krapl
Rachel Mcquillan, Anna Maria Fernandez
Pam Shriver, Sara Gomer
Wiltrud Probst, Tina Mochizuki
Anne Minter, Lisa Oneill
Catarina Lindqvist Ryan, Janine Tremelling
Claudia Kohde Kilsch, Sandra Wasserman
Jana Novotna, Catherine Suire
Ann Henricksson, Masako Yanagi
Etsuko Inoue, Betsy Nagelsen
Patty Fendick, Julie Salmon
Christiane Jolissaint, Heather Ludloff
Belinda Cordwell, Ann Devries
Brenda Schultz Mccarthy, Sylvia Hanika
Maria Lindstrom, Liz Smylie
Hester Witvoet, Rosalyn Fairbank
Jo Durie, Marianne Werdel Witmeyer
Helena Sukova, Rachel Mcquillan
Pam Shriver, Wiltrud Probst
Catarina Lindqvist Ryan, Anne Minter
Claudia Kohde Kilsch, Jana Novotna
Etsuko Inoue, Ann Henricksson
Patty Fendick, Christiane Jolissaint
Brenda Schultz Mccarthy, Belinda Cordwell
Hester Witvoet, Maria Lindstrom
Helena Sukova, Jo Durie
Pam Shriver, Catarina Lindqvist Ryan
Claudia Kohde Kilsch, Etsuko Inoue
Patty Fendick, Brenda Schultz Mccarthy
Helena Sukova, Hester Witvoet
Pam Shriver, Claudia Kohde Kilsch
Helena Sukova, Patty Fendick
Pam Shriver, Helena Sukova
Julie Richardson, Dee Ann Hansel
Radomira Zrubakova, Hellas Ter Riet
Belinda Cordwell, Anne Minter
Betsy Nagelsen, Maria Lindstrom
Claudia Porwik, Valda Lake
Ann Devries, Christiane Jolissaint
Anna Maria Fernandez, Sandra Wasserman
Emiko Okagawa, Tracey Morton Rodgers
